clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,39,160,0,1,0.995,0.975,1.0,1.0,0.9875,40
AS,30,155,5,10,0.925,0.75,0.96875,0.8571428571428571,0.859375,40
MR,33,154,6,7,0.935,0.825,0.9625,0.8461538461538461,0.89375,40
MS,36,154,6,4,0.95,0.9,0.9625,0.8571428571428571,0.93125,40
MVP,37,152,8,3,0.945,0.925,0.95,0.8222222222222222,0.9375,40
PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8765323565323566,0.921875,200
