indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,original,N,New_N_001.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.18880060599885104,6x212,0.027882100082933903,18,0.080304240488484,0.2084574901800927,0.019563700072467327,10,0.05685037492520442,0.23287000648455775,0.004231099970638752,6,0.06282634646170271,0.27149810114924927,0.0031056998996064067
1,original,N,New_N_002.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.18925171959368656,6x212,0.030012500006705523,18,0.07163815147942874,0.23016947944515975,0.01914550003129989,10,0.05875270948802797,0.18845270840660205,0.006298899999819696,6,0.0672123551621526,0.22037356897741983,0.0035653000231832266
2,original,N,New_N_003.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.18756567629835494,6x212,0.027571799932047725,18,0.07774219551340117,0.17953885319808258,0.018594800028949976,10,0.05776092657338534,0.21773335501189758,0.0041680000722408295,6,0.062195287423183754,0.30834844084028906,0.0038903000531718135
3,original,N,New_N_004.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.1852381558605676,6x212,0.026401899987831712,18,0.07775599904180053,0.21579210777787597,0.017852199962362647,10,0.05709876514766859,0.27388765543142,0.004553199978545308,6,0.06173072920991264,0.29370244094229464,0.0030474000377580523
4,original,N,New_N_005.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.1879241235491846,6x212,0.027931599994190037,18,0.07502582024501347,0.2135038681111446,0.018507699947804213,10,0.05802474508496958,0.25105435771897455,0.005402200040407479,6,0.06508890948101248,0.28616073816005344,0.003132999991066754
5,original,N,New_N_006.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.19153434495623747,6x212,0.024989700061269104,18,0.08000996029950502,0.2282430131807626,0.017537000006996095,10,0.05781845846356452,0.177012306190828,0.003788800095207989,6,0.06498711984680448,0.19593264834407367,0.002757200039923191
6,original,N,New_N_007.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.18857018596529249,6x212,0.025872100028209388,18,0.07403982241206933,0.22638473577692114,0.016868700040504336,10,0.05922887951232627,0.22356512430829456,0.005391299957409501,6,0.06561408574830585,0.2665248451574783,0.0028418999863788486
7,original,N,New_N_008.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.1924050863796875,6x212,0.02391170000191778,18,0.0698393433371518,0.20320967560507572,0.016457000048831105,10,0.059484815484593404,0.19076777298430597,0.003795800032094121,6,0.07135757360189296,0.24837486306406975,0.0026955000357702374
8,original,N,New_N_009.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.18906357467288412,6x212,0.025202500051818788,18,0.07642681313152715,0.21506933074225446,0.016573600005358458,10,0.05835691181785729,0.20067054532882997,0.004714200040325522,6,0.06843193093039818,0.21753799003870494,0.0027139000594615936
9,original,N,New_N_010.wav,18-10-6,DeepONMF_H3,3,nndsvd,0.1914946929787658,6x212,0.023545100004412234,18,0.08468481547595062,0.2271395277086428,0.01614479999989271,10,0.05821043421335533,0.21728360571869534,0.003909000079147518,6,0.06850412363438314,0.21189803035761046,0.002758100046776235
