base,clasificador,protocolo_ujanet,representacion,distribucion,numero_capas,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,predicciones,aciertos,exactitud_directa,ruta_matriz_png,ruta_matriz_conteos,ruta_predicciones,protocolo_prueba,metodo_factorizacion,matriz_entrada,penalizacion_ortogonal,sin_regularizacion,inicializacion_factorizacion
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_H3,28-13-6,3,0.9812,0.007293833011524159,0.9530000000000001,0.018234582528810453,0.9882500000000001,0.004558645632202571,0.9540973126261958,0.018168329493798128,0.9706250000000001,0.01139661408050653,1000,953,0.953,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\H3_28_13_6\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\H3_28_13_6\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\H3_28_13_6\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,ONMF,H,0.05,False,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_W3,28-13-6,3,0.9308,0.011882760622010357,0.827,0.02970690155502585,0.9567499999999999,0.007426725388756503,0.8325831071757402,0.03001917971172059,0.8918750000000001,0.018566813471891198,1000,827,0.827,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\W3_28_13_6\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\W3_28_13_6\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\W3_28_13_6\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,ONMF,W,0.05,False,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_H4,8-7-7-6,4,0.9772000000000001,0.006418722614352529,0.943,0.01604680653588124,0.98575,0.0040117016339703245,0.9441928147910176,0.016294095880859158,0.9643750000000001,0.010029254084925755,1000,943,0.943,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\NMF\H4_8_7_7_6\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\NMF\H4_8_7_7_6\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\NMF\H4_8_7_7_6\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,NMF,H,0.0,True,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_W4,8-7-7-6,4,0.942,0.019131126469709006,0.8550000000000001,0.04782781617427251,0.9637500000000001,0.01195695404356811,0.8605031257555297,0.04636705363248595,0.909375,0.02989238510892031,1000,855,0.855,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\NMF\W4_8_7_7_6\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\NMF\W4_8_7_7_6\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\NMF\W4_8_7_7_6\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,NMF,W,0.0,True,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_H4,8-7-7-6,4,0.9795999999999999,0.006693280212272569,0.9490000000000001,0.016733200530681495,0.9872500000000001,0.004183300132670409,0.9503194883044188,0.01746803197608698,0.9681249999999999,0.010458250331675942,1000,949,0.949,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\H4_8_7_7_6\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\H4_8_7_7_6\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\H4_8_7_7_6\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,ONMF,H,0.05,False,nndsvd
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_W4,8-7-7-6,4,0.9339999999999999,0.010862780491200215,0.835,0.027156951228000575,0.9587499999999999,0.006789237807000164,0.8479276607894409,0.02658563900425551,0.896875,0.01697309451750036,1000,835,0.835,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\W4_8_7_7_6\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\W4_8_7_7_6\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\SNR_0db\ONMF\W4_8_7_7_6\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,ONMF,W,0.05,False,nndsvd
original,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_H1,26,1,0.9824000000000002,0.008294576541331125,0.9559999999999998,0.02073644135332774,0.9890000000000001,0.005184110338331893,0.9571980597460492,0.02042922304776297,0.9724999999999999,0.012960275845829846,1000,956,0.956,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\NMF\H1_26\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\NMF\H1_26\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\NMF\H1_26\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,NMF,H,0.0,True,nndsvd
original,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_W1,26,1,0.9400000000000001,0.009899494936611623,0.85,0.024748737341529096,0.9625,0.0061871843353822654,0.8555366743730831,0.025400378685758368,0.90625,0.01546796083845575,1000,850,0.85,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\NMF\W1_26\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\NMF\W1_26\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\NMF\W1_26\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,NMF,W,0.0,True,nndsvd
original,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_H1,26,1,0.984,0.0031622776601683824,0.96,0.007905694150420955,0.9899999999999999,0.001976423537605248,0.9615889905306869,0.00812615983720443,0.975,0.0049410588440130755,1000,960,0.96,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\ONMF\H1_26\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\ONMF\H1_26\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\ONMF\H1_26\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,ONMF,H,0.05,False,nndsvd
original,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_W1,26,1,0.9328,0.011099549540409212,0.8320000000000001,0.02774887385102324,0.958,0.006937218462755815,0.8365042717904805,0.026715670488689527,0.8950000000000001,0.017343046156889502,1000,832,0.832,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\ONMF\W1_26\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\ONMF\W1_26\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\05_prueba_nmf_w_h\evaluacion_ujanet\original\ONMF\W1_26\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_nmf_w_h_v1,ONMF,W,0.05,False,nndsvd
