,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,28,1,11,0,0
real_AS,0,28,12,0,0
real_MR,0,1,38,0,1
real_MS,0,1,9,26,4
real_MVP,2,4,6,1,27
