indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h
0,12-2,2,0.3105577317245191,2x212,0.021156800008611754,12,0.06259916383344948,0.3177074276063097,2,0.5108653060552626,0.16651228522642825
1,12-2,2,0.3150470411837495,2x212,0.01988890001666732,12,0.05539375475937081,0.3192734635674673,2,0.5531871562479924,0.29175828613180066
2,12-2,2,0.275094601460843,2x212,0.02061810001032427,12,0.05878223415902781,0.35578011133664805,2,0.6115880243959927,0.3067864681966238
3,12-2,2,0.3318817213783758,2x212,0.021729800006141886,12,0.057825041492101104,0.35142050035520184,2,0.6143903944251388,0.27957632852372805
4,12-2,2,0.24337587112733158,2x212,0.020013799978187308,12,0.0541578411452183,0.34425334634147864,2,0.613390681605152,0.37214324545149036
5,12-2,2,0.3254874558030468,2x212,0.01998069998808205,12,0.05872360195327571,0.36569156150054166,2,0.43472664233902447,0.303568479114699
6,12-2,2,0.2813662880925041,2x212,0.018396200001006946,12,0.06414383074067403,0.3500357898960901,2,0.5198533500669184,0.330302421876551
7,12-2,2,0.2793848415345058,2x212,0.018753400014247745,12,0.0610155851191569,0.3932933891204258,2,0.606983759498489,0.344717076607974
8,12-2,2,0.23053744966053874,2x212,0.017263899993849918,12,0.05946553750299899,0.3990806066874275,2,0.636964519435847,0.289734081092287
9,12-2,2,0.21697871658712517,2x212,0.01732009998522699,12,0.05475558153080295,0.3142878951083804,2,0.6454750879008453,0.28965336372211165
10,12-2,2,0.19999864063808084,2x212,0.03132569999434054,12,0.06318985385778189,0.37260995132938607,2,0.6685749146761962,0.4700409688684687
11,12-2,2,0.22293245098828068,2x212,0.018106200004694983,12,0.06190624377588733,0.34735791518820364,2,0.6424472908606158,0.26618298644870275
12,12-2,2,0.2406459597407746,2x212,0.02244309999514371,12,0.057073809604880274,0.3745345083417984,2,0.6372168409670652,0.33108246458140045
13,12-2,2,0.2776755352084379,2x212,0.019917900004656985,12,0.06537367846681097,0.325512949649176,2,0.5916302779724142,0.39324440321763204
14,12-2,2,0.2171400744014577,2x212,0.017889400012791157,12,0.06453526616446255,0.3895650540808353,2,0.5787480694706368,0.3399078447869677
15,12-2,2,0.22301632577125588,2x212,0.01920330000575632,12,0.058112264233973476,0.33817444560032545,2,0.6158476575243013,0.29982667909786087
16,12-2,2,0.278589027914957,2x212,0.019628899986855686,12,0.06656244285337451,0.38834188145033477,2,0.5084829607328202,0.2593580766533816
17,12-2,2,0.23350673883800863,2x212,0.018255800008773804,12,0.0563047179006002,0.34575091793900103,2,0.5555188937588754,0.21444812979394978
18,12-2,2,0.19256862713026204,2x212,0.016971000004559755,12,0.07041230898545132,0.3400331614143175,2,0.5180175366826517,0.3230712347360768
19,12-2,2,0.32317260856583624,2x212,0.017881800013128668,12,0.06254611149162682,0.38438322238894257,2,0.5185812415980561,0.1693246482371693
20,12-2,2,0.22417740774739894,2x212,0.020596299989847466,12,0.061419349440572306,0.32532350499304064,2,0.553257785542652,0.2201953862906489
21,12-2,2,0.250002935998863,2x212,0.01590040000155568,12,0.05569029533679699,0.34072618507357044,2,0.4774337909302444,0.19986665240119583
