epoca,loss_train,loss_val
1,1.354069615665235,0.766154408454895
2,0.7560578121950752,0.5027353167533875
3,0.5963885023405677,0.42388859391212463
4,0.47072391447268036,0.36439716815948486
5,0.39516746311595563,0.3022820055484772
6,0.30369218419256966,0.3177628517150879
7,0.26564342058018636,0.3141482174396515
8,0.21883733796053811,0.309364914894104
9,0.17784136744510187,0.3383609652519226
10,0.1574564943531234,0.3228243589401245
11,0.15945162580005431,0.38511279225349426
12,0.11127418790343463,0.3751550614833832
13,0.0821254367597009,0.4433273375034332
14,0.0748874775232061,0.3984811007976532
15,0.09023944305954501,0.3991577625274658
