,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,34,0,5,0,1
real_AS,0,36,4,0,0
real_MR,0,0,39,0,1
real_MS,0,0,4,32,4
real_MVP,2,3,8,0,27
