,N,AS,MR,MS,MVP
N,100.0,0.0,0.0,0.0,0.0
AS,0.0,96.0,3.5000000000000004,0.0,0.5
MR,1.5,4.5,90.5,3.0,0.5
MS,0.5,0.5,1.0,97.0,1.0
MVP,2.5,3.0,1.0,2.5,91.0
