clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,35,139,21,5,0.87,0.875,0.86875,0.625,0.871875,40
AS,23,125,35,17,0.74,0.575,0.78125,0.39655172413793105,0.678125,40
MR,22,154,6,18,0.88,0.55,0.9625,0.7857142857142857,0.7562500000000001,40
MS,15,138,22,25,0.765,0.375,0.8625,0.40540540540540543,0.61875,40
MVP,12,151,9,28,0.815,0.3,0.94375,0.5714285714285714,0.621875,40
PROMEDIO_MACRO,107,707,93,93,0.8140000000000001,0.5349999999999999,0.8837499999999998,0.5568199973372387,0.709375,200
