Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.020498 ± 0.087043,0.020584 ± 0.087023,0.020735 ± 0.086986,0.021057 ± 0.086908,0.019640 ± 0.087242,0.26134935038070534
SBV 2,0.020848 ± 0.086959,0.030324 ± 0.084102,0.019572 ± 0.087257,0.020510 ± 0.087040,0.017483 ± 0.087703,1.4334014679766437e-31
SBV 3,0.021790 ± 0.086726,0.018496 ± 0.087494,0.029253 ± 0.084483,0.022420 ± 0.086564,0.021673 ± 0.086756,6.288961227211728e-20
SBV 4,0.017894 ± 0.087620,0.024400 ± 0.086023,0.021229 ± 0.086866,0.021401 ± 0.086823,0.019950 ± 0.087171,1.9100127866417075e-14
SBV 5,0.018642 ± 0.087462,0.030364 ± 0.084087,0.021730 ± 0.086741,0.020501 ± 0.087042,0.031021 ± 0.083845,1.0613863652773257e-25
SBV 6,0.021258 ± 0.086859,0.023048 ± 0.086398,0.028216 ± 0.084838,0.019387 ± 0.087299,0.019681 ± 0.087233,1.908962886208587e-05
SBV 7,0.019391 ± 0.087298,0.021316 ± 0.086845,0.021733 ± 0.086740,0.018700 ± 0.087450,0.020975 ± 0.086928,2.5262462136672333e-08
