indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
62,SNR_-5db,NMF,7,1,0.0,True,0.3657610506035299,7x212,126x7,0.02711660019122064
63,SNR_-5db,NMF,7,1,0.0,True,0.3662326765595972,7x212,126x7,0.026875499868765473
64,SNR_-5db,NMF,7,1,0.0,True,0.3690825164936586,7x212,126x7,0.02594140009023249
65,SNR_-5db,NMF,7,1,0.0,True,0.3677321271827464,7x212,126x7,0.030822499888017774
66,SNR_-5db,NMF,7,1,0.0,True,0.36873010730985895,7x212,126x7,0.025465300073847175
67,SNR_-5db,NMF,7,1,0.0,True,0.36967601916087023,7x212,126x7,0.026670699939131737
68,SNR_-5db,NMF,7,1,0.0,True,0.36772479100717115,7x212,126x7,0.053709100000560284
69,SNR_-5db,NMF,7,1,0.0,True,0.3685146321804345,7x212,126x7,0.028792399913072586
70,SNR_-5db,NMF,7,1,0.0,True,0.3689345646820418,7x212,126x7,0.03449880005791783
71,SNR_-5db,NMF,7,1,0.0,True,0.3669377863612765,7x212,126x7,0.031006100121885538
72,SNR_-5db,NMF,7,1,0.0,True,0.3677957325902234,7x212,126x7,0.03380099986679852
73,SNR_-5db,NMF,7,1,0.0,True,0.36697038908500884,7x212,126x7,0.03579480014741421
74,SNR_-5db,NMF,7,1,0.0,True,0.36902074441339894,7x212,126x7,0.025867900112643838
75,SNR_-5db,NMF,7,1,0.0,True,0.36837799328817883,7x212,126x7,0.030005699954926968
76,SNR_-5db,NMF,7,1,0.0,True,0.36850172382903856,7x212,126x7,0.029527399921789765
77,SNR_-5db,NMF,7,1,0.0,True,0.3730290173451729,7x212,126x7,0.029789100168272853
78,SNR_-5db,NMF,7,1,0.0,True,0.3696845587668676,7x212,126x7,0.05470689991489053
79,SNR_-5db,NMF,7,1,0.0,True,0.3743798759063803,7x212,126x7,0.027452699840068817
80,SNR_-5db,NMF,7,1,0.0,True,0.37051561198976174,7x212,126x7,0.02797419996932149
81,SNR_-5db,NMF,7,1,0.0,True,0.36737685115491064,7x212,126x7,0.028536600060760975
82,SNR_-5db,NMF,7,1,0.0,True,0.37029533903232364,7x212,126x7,0.02756420010700822
83,SNR_-5db,NMF,7,1,0.0,True,0.3708655698847711,7x212,126x7,0.02499210019595921
84,SNR_-5db,NMF,7,1,0.0,True,0.3697115302478371,7x212,126x7,0.028418700210750103
85,SNR_-5db,NMF,7,1,0.0,True,0.3661718810463149,7x212,126x7,0.026776199927553535
86,SNR_-5db,NMF,7,1,0.0,True,0.3691832647865366,7x212,126x7,0.030313599854707718
87,SNR_-5db,NMF,7,1,0.0,True,0.3732070275268201,7x212,126x7,0.0312928999774158
88,SNR_-5db,NMF,7,1,0.0,True,0.37208201094487764,7x212,126x7,0.05089950002729893
89,SNR_-5db,NMF,7,1,0.0,True,0.36769057023387874,7x212,126x7,0.027292799903079867
