,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,0,3,0
real_AS,0,25,8,4,3
real_MR,0,7,30,2,1
real_MS,3,3,0,28,6
real_MVP,7,5,1,1,26
