posicion_resultado,distribucion,numero_capas,clasificador,representacion,Accuracy,Accuracy_std,Sensitivity,Sensitivity_std,Specificity,Specificity_std,Precision,Precision_std,Score,Score_std,origen,posicion_arquitectura,mejor_resultado_arquitectura,seleccionada
11,13-5,2,UjaNet,DeepONMF_H2,0.9784,0.0076681158050723,0.946,0.0191702895126808,0.9865,0.0047925723781702,0.946445046735192,0.0192074833576985,0.96625,0.0119814309454255,anterior,11,True,False
12,10-7,2,UjaNet,DeepONMF_H2,0.978,0.0077459666924148,0.945,0.019364916731037,0.98625,0.0048412291827593,0.9462675300021954,0.0181418589649511,0.965625,0.0121030729568982,anterior,12,True,False
13,12-6,2,UjaNet,DeepONMF_H2,0.978,0.010295630140987,0.945,0.0257390753524675,0.98625,0.0064347688381168,0.9462563561397488,0.0253580817211903,0.965625,0.0160869220952921,anterior,13,True,False
14,12-5-4,3,UjaNet,DeepONMF_H3,0.978,0.0092736184954957,0.945,0.0231840462387393,0.9862499999999998,0.0057960115596848,0.9459688472255866,0.0233249546329926,0.965625,0.014490028899212,anterior,14,True,False
15,16-4,2,UjaNet,DeepONMF_H2,0.9776,0.0049799598391954,0.9440000000000002,0.0124498995979886,0.986,0.0031124748994971,0.9454877142887412,0.0124668377193328,0.965,0.0077811872487429,anterior,15,True,False
16,16-12,2,UjaNet,DeepONMF_H2,0.9776,0.0062289646009589,0.9440000000000002,0.0155724115023974,0.986,0.0038931028755993,0.9450980779145391,0.0154319506118237,0.965,0.0097327571889984,anterior,16,True,False
17,15-7,2,UjaNet,DeepONMF_H2,0.9776,0.0099398189118313,0.944,0.0248495472795783,0.986,0.0062123868198945,0.946397191493878,0.0243045090390437,0.965,0.0155309670497364,anterior,17,True,False
18,10-6-3,3,UjaNet,DeepONMF_H3,0.9776,0.007266360849834,0.944,0.0181659021245849,0.986,0.0045414755311462,0.945496842360263,0.0171845607659228,0.965,0.0113536888278655,anterior,18,True,False
19,9-5,2,UjaNet,DeepONMF_H2,0.9776,0.011081516141756,0.944,0.0277037903543901,0.986,0.0069259475885975,0.9453936913774212,0.0272533980288866,0.965,0.0173148689714938,anterior,19,True,False
20,11-3,2,UjaNet,DeepONMF_H2,0.9776,0.0098386991009991,0.944,0.0245967477524976,0.986,0.0061491869381244,0.9452267655389128,0.0249749192646126,0.965,0.015372967345311,anterior,20,True,False
21,12-7,2,UjaNet,DeepONMF_H2,0.9776,0.008173126696681,0.944,0.0204328167417026,0.986,0.0051082041854256,0.9451972059261992,0.0192293128306971,0.965,0.0127705104635641,anterior,21,True,False
22,18-9,2,UjaNet,DeepONMF_H2,0.9776,0.0047749345545253,0.944,0.0119373363863133,0.986,0.0029843340965783,0.9443942181087,0.0118261456464968,0.965,0.0074608352414458,anterior,22,True,False
23,8-4,2,UjaNet,DeepONMF_H2,0.9772,0.0092303846073714,0.943,0.0230759615184286,0.98575,0.0057689903796072,0.9449044991164172,0.0216798221402581,0.964375,0.0144224759490178,anterior,23,True,False
24,15-6,2,UjaNet,DeepONMF_H2,0.9772,0.0062609903369993,0.943,0.0156524758424985,0.98575,0.0039131189606246,0.9442205461659444,0.0154844009502313,0.964375,0.0097827974015615,anterior,24,True,False
25,17-3,2,UjaNet,DeepONMF_H2,0.9772,0.0081975606127676,0.943,0.0204939015319192,0.98575,0.0051234753829797,0.9442008896855898,0.0205685100493457,0.964375,0.0128086884574494,anterior,25,True,False
26,7-5,2,UjaNet,DeepONMF_H2,0.9772,0.0083186537372342,0.943,0.0207966343430854,0.98575,0.0051991585857714,0.9441304549142564,0.020581180739374,0.964375,0.0129978964644283,anterior,26,True,False
27,14-7,2,UjaNet,DeepONMF_H2,0.9772,0.0084380092438916,0.943,0.021095023109729,0.98575,0.0052737557774323,0.9440229316031626,0.0208556841048522,0.964375,0.0131843894435806,anterior,27,True,False
28,14-3,2,UjaNet,DeepONMF_H2,0.9772,0.009444575162494,0.943,0.0236114379062351,0.98575,0.0059028594765588,0.943848000201793,0.0227233519368075,0.964375,0.0147571486913969,anterior,28,True,False
29,10-8-6,3,UjaNet,DeepONMF_H3,0.9772,0.0064187226143524,0.943,0.0160468065358812,0.98575,0.0040117016339703,0.9438282215704372,0.016637313849809,0.964375,0.0100292540849257,anterior,29,True,False
30,12-4,2,UjaNet,DeepONMF_H2,0.9771999999999998,0.0102567051239663,0.943,0.0256417628099161,0.98575,0.006410440702479,0.944459184239702,0.024579645262105,0.964375,0.0160261017561975,anterior,30,True,False
31,16-8,2,UjaNet,DeepONMF_H2,0.9768,0.0116275534829988,0.942,0.0290688837074972,0.9855,0.0072672209268743,0.943690409937268,0.0289426142112171,0.96375,0.0181680523171857,anterior,31,True,False
32,10-9,2,UjaNet,DeepONMF_H2,0.9768,0.0111892805845594,0.942,0.0279732014613987,0.9855,0.0069933003653496,0.9433074627021312,0.0270330701256337,0.96375,0.0174832509133742,anterior,32,True,False
33,11-7,2,UjaNet,DeepONMF_H2,0.9768,0.0094445751624941,0.942,0.0236114379062352,0.9855,0.0059028594765588,0.943121511616816,0.0230511580502489,0.96375,0.0147571486913969,anterior,33,True,False
34,7-6-3,3,UjaNet,DeepONMF_H3,0.9768,0.0079498427657407,0.942,0.0198746069143517,0.9855,0.0049686517285879,0.9430288681407886,0.0199033047798703,0.96375,0.0124216293214698,anterior,34,True,False
35,9-6-5-3,4,UjaNet,DeepONMF_H4,0.9768,0.0054037024344425,0.942,0.0135092560861062,0.9855,0.0033773140215266,0.9429295408627888,0.0128557078936836,0.96375,0.0084432850538164,nueva_4_capas,35,True,False
36,8-5,2,UjaNet,DeepONMF_H2,0.9768,0.0084380092438915,0.942,0.021095023109729,0.9855,0.0052737557774322,0.9428638708664382,0.0207459091779172,0.96375,0.0131843894435806,anterior,36,True,False
37,9-7-3,3,UjaNet,DeepONMF_H3,0.9764,0.0097365291557104,0.941,0.0243413228892761,0.98525,0.006085330722319,0.9436212287317324,0.0235521841024255,0.963125,0.0152133268057975,anterior,37,True,False
38,11-8,2,UjaNet,DeepONMF_H2,0.9764,0.0139570770578944,0.941,0.0348926926447357,0.98525,0.0087231731611839,0.9425036769632495,0.0337914900106341,0.963125,0.0218079329029598,anterior,38,True,False
39,15-3,2,UjaNet,DeepONMF_H2,0.9764,0.0099398189118313,0.941,0.0248495472795783,0.98525,0.0062123868198946,0.9420371969345284,0.0241555152107039,0.963125,0.0155309670497364,anterior,39,True,False
40,10-8-3,3,UjaNet,DeepONMF_H3,0.9764,0.0071274118724821,0.941,0.0178185296812055,0.98525,0.0044546324203013,0.9420348609272392,0.0177562766376776,0.963125,0.0111365810507534,anterior,40,True,False
41,9-3,2,UjaNet,DeepONMF_H2,0.976,0.0104880884817015,0.94,0.0262202212042537,0.985,0.0065550553010634,0.942255387236389,0.0245619136744023,0.9625,0.0163876382526585,anterior,41,True,False
42,17-8,2,UjaNet,DeepONMF_H2,0.976,0.0087177978870813,0.94,0.0217944947177033,0.985,0.0054486236794259,0.9422108523974522,0.0208428126280992,0.9625,0.0136215591985645,anterior,42,True,False
43,10-5,2,UjaNet,DeepONMF_H2,0.976,0.0077459666924148,0.94,0.019364916731037,0.985,0.0048412291827592,0.9418105795725924,0.0182006774165852,0.9625,0.0121030729568981,anterior,43,True,False
44,10-5-4,3,UjaNet,DeepONMF_H3,0.976,0.0095916630466254,0.94,0.0239791576165636,0.985,0.0059947894041408,0.9416292356908532,0.0245102036578777,0.9625,0.0149869735103522,anterior,44,True,False
45,8-6-4,3,UjaNet,DeepONMF_H3,0.976,0.0115758369027902,0.94,0.0289395922569755,0.985,0.0072348980642438,0.9415017123156222,0.0274583485423892,0.9625,0.0180872451606097,anterior,45,True,False
46,12-10-8-6-5,5,UjaNet,DeepONMF_H5,0.976,0.01,0.94,0.0249999999999999,0.985,0.0062499999999999,0.9414900959106964,0.0234276940637337,0.9625,0.0156249999999999,nueva_5_capas,46,True,False
47,12-9-3,3,UjaNet,DeepONMF_H3,0.976,0.0102956301409869,0.94,0.0257390753524675,0.985,0.0064347688381169,0.9414877791565852,0.0249454876405829,0.9625,0.0160869220952921,anterior,47,True,False
48,9-5-4,3,UjaNet,DeepONMF_H3,0.976,0.008124038404636,0.94,0.0203100960115899,0.985,0.0050775240028975,0.9413088593281148,0.0207350472128671,0.9625,0.0126938100072437,anterior,48,True,False
49,6-5,2,UjaNet,DeepONMF_H2,0.976,0.0066332495807108,0.94,0.0165831239517769,0.985,0.0041457809879442,0.9412439247022046,0.0167184966822191,0.9625,0.0103644524698606,anterior,49,True,False
50,8-4-3,3,UjaNet,DeepONMF_H3,0.976,0.0087177978870813,0.94,0.0217944947177034,0.985,0.0054486236794258,0.9411594006426705,0.0211925637977458,0.9625,0.0136215591985645,anterior,50,True,False
51,11-5-3,3,UjaNet,DeepONMF_H3,0.976,0.0048989794855663,0.94,0.0122474487139158,0.985,0.003061862178479,0.9409910780989088,0.0117215297200116,0.9625,0.0076546554461974,anterior,51,True,False
52,9-7-6-3,4,UjaNet,DeepONMF_H4,0.976,0.008,0.94,0.02,0.985,0.005,0.9408785014297748,0.0200164781986492,0.9625,0.0124999999999999,nueva_4_capas,52,True,False
53,8-6,2,UjaNet,DeepONMF_H2,0.976,0.0081240384046359,0.9399999999999998,0.0203100960115899,0.985,0.0050775240028975,0.9418609078382376,0.0190897572828243,0.9625,0.0126938100072437,anterior,53,True,False
54,16-10-4,3,UjaNet,DeepONMF_H3,0.9756,0.0072663608498339,0.939,0.0181659021245849,0.98475,0.0045414755311462,0.9410576061580032,0.0179618352478089,0.961875,0.0113536888278655,anterior,54,True,False
55,16-9,2,UjaNet,DeepONMF_H2,0.9756,0.0045607017003965,0.939,0.0114017542509914,0.98475,0.0028504385627479,0.9408281405446524,0.0112332927129984,0.961875,0.0071260964068695,anterior,55,True,False
56,9-8-7,3,UjaNet,DeepONMF_H3,0.9756,0.0105261578935526,0.939,0.0263153947338814,0.98475,0.0065788486834704,0.9403683132374544,0.0255635693468484,0.961875,0.0164471217086759,anterior,56,True,True
57,14-9,2,UjaNet,DeepONMF_H2,0.9756,0.0088769364084688,0.939,0.022192341021172,0.98475,0.005548085255293,0.940315207428026,0.0213957093046746,0.961875,0.0138702131382325,anterior,57,True,False
58,6-4,2,UjaNet,DeepONMF_H2,0.9756,0.0089888820216977,0.939,0.0224722050542442,0.98475,0.005618051263561,0.9403035498398736,0.0223513257038997,0.961875,0.0140451281589026,anterior,58,True,False
59,20-8-7-6,4,UjaNet,DeepONMF_H4,0.9756,0.0095289033996572,0.939,0.0238222584991431,0.98475,0.0059555646247857,0.9402792948592598,0.0234030248134812,0.961875,0.0148889115619644,nueva_4_capas,59,True,False
60,11-7-4,3,UjaNet,DeepONMF_H3,0.9756,0.0071274118724822,0.939,0.0178185296812054,0.98475,0.0044546324203013,0.9401892192880938,0.0177968042446387,0.961875,0.0111365810507534,anterior,60,True,False
61,17-9,2,UjaNet,DeepONMF_H2,0.9756,0.0117813411800185,0.939,0.0294533529500462,0.98475,0.0073633382375116,0.9401829255053424,0.0292524823882529,0.961875,0.0184083455937789,anterior,61,True,False
62,8-6-5-3,4,UjaNet,DeepONMF_H4,0.9756,0.0099398189118313,0.939,0.0248495472795783,0.98475,0.0062123868198945,0.940147838329586,0.0248481468422375,0.961875,0.0155309670497364,nueva_4_capas,62,True,False
63,17-7,2,UjaNet,DeepONMF_H2,0.9756,0.0071274118724821,0.9389999999999998,0.0178185296812055,0.98475,0.0044546324203013,0.9399147980849925,0.0182773144515961,0.961875,0.0111365810507534,anterior,63,True,False
64,10-6,2,UjaNet,DeepONMF_H2,0.9752,0.0096540147089177,0.938,0.0241350367722942,0.9845,0.0060337591930736,0.9400436644234128,0.0243294022102324,0.96125,0.0150843979826839,anterior,64,True,False
65,12-10-8-5-4,5,UjaNet,DeepONMF_H5,0.9752,0.0100598210719674,0.938,0.0251495526799185,0.9845,0.0062873881699796,0.9396641695707916,0.0244835973982569,0.96125,0.015718470424949,nueva_5_capas,65,True,False
66,15-8-3,3,UjaNet,DeepONMF_H3,0.9752,0.0126964561984831,0.938,0.0317411404962078,0.9845,0.007935285124052,0.9392578857046974,0.0305915767803253,0.96125,0.0198382128101298,anterior,66,True,False
67,11-9,2,UjaNet,DeepONMF_H2,0.9752,0.010917875251165,0.938,0.0272946881279124,0.9845,0.006823672031978,0.9389486435624782,0.0261022815955863,0.96125,0.0170591800799452,anterior,67,True,False
68,13-4,2,UjaNet,DeepONMF_H2,0.9752,0.0092303846073714,0.938,0.0230759615184286,0.9845,0.0057689903796071,0.938797485818025,0.0227678480824062,0.96125,0.0144224759490178,anterior,68,True,False
69,13-5-4,3,UjaNet,DeepONMF_H3,0.9752,0.0079498427657407,0.938,0.0198746069143517,0.9845,0.0049686517285879,0.9386638165978108,0.0201982379654204,0.96125,0.0124216293214698,anterior,69,True,False
70,13-7,2,UjaNet,DeepONMF_H2,0.9751999999999998,0.0085556998544829,0.938,0.0213892496362074,0.9845,0.0053473124090518,0.9410088794196362,0.0203414261640666,0.96125,0.0133682810226296,anterior,70,True,False
71,16-11,2,UjaNet,DeepONMF_H2,0.9751999999999998,0.012214745187682,0.938,0.0305368629692048,0.9845,0.0076342157423012,0.9402302901611526,0.0274854611116766,0.96125,0.0190855393557531,anterior,71,True,False
72,8-5-3,3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0123773987574126,0.938,0.0309434968935315,0.9845,0.0077358742233828,0.9401057961694652,0.0289494780105749,0.96125,0.0193396855584572,anterior,72,True,False
73,15-10,2,UjaNet,DeepONMF_H2,0.9751999999999998,0.0095498691090506,0.938,0.0238746727726266,0.9845,0.0059686681931566,0.939873913767736,0.023479741139413,0.96125,0.0149216704828916,anterior,73,True,False
74,7-4-3,3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0110090871556182,0.938,0.0275227178890457,0.9845,0.0068806794722614,0.9397648974270638,0.0261337652818663,0.96125,0.0172016986806535,anterior,74,True,False
75,13-8,2,UjaNet,DeepONMF_H2,0.9751999999999998,0.0087863530545955,0.938,0.0219658826364887,0.9845,0.0054914706591222,0.9396592688680973,0.0211926420813945,0.96125,0.0137286766478054,anterior,75,True,False
76,17-10-3,3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0101587400793602,0.938,0.0253968501984006,0.9845,0.0063492125496001,0.9387671224795744,0.024968568671123,0.96125,0.0158730313740003,anterior,76,True,False
77,12-5,2,UjaNet,DeepONMF_H2,0.9748,0.0102567051239664,0.937,0.025641762809916,0.98425,0.006410440702479,0.939585113628642,0.0240805287886368,0.960625,0.0160261017561976,anterior,77,True,False
78,7-3,2,UjaNet,DeepONMF_H2,0.9748,0.0067230945255886,0.937,0.0168077363139716,0.98425,0.0042019340784929,0.9395037219200604,0.0164557317522569,0.960625,0.0105048351962322,anterior,78,True,False
79,20-12-11-10,4,UjaNet,DeepONMF_H4,0.9748,0.0106395488626163,0.937,0.0265988721565408,0.98425,0.0066497180391352,0.9393762022028572,0.0250932157937599,0.960625,0.016624295097838,nueva_4_capas,79,True,False
80,11-5-4,3,UjaNet,DeepONMF_H3,0.9748,0.0072938330115241,0.937,0.0182345825288104,0.98425,0.0045586456322026,0.939186982343239,0.0174798646702209,0.960625,0.0113966140805065,anterior,80,True,False
81,9-6,2,UjaNet,DeepONMF_H2,0.9748,0.0114542568506211,0.937,0.0286356421265527,0.98425,0.0071589105316381,0.9389619062252916,0.0283961915853727,0.960625,0.0178972763290954,anterior,81,True,False
82,14-6,2,UjaNet,DeepONMF_H2,0.9748,0.0105451410611712,0.937,0.0263628526529281,0.98425,0.006590713163232,0.9389023779543664,0.0253639179574187,0.960625,0.01647678290808,anterior,82,True,False
83,7-6-4-3,4,UjaNet,DeepONMF_H4,0.9748,0.011713240371477,0.937,0.0292831009286926,0.98425,0.0073207752321732,0.9383011284286352,0.0285379524269884,0.960625,0.0183019380804328,nueva_4_capas,83,True,False
84,11-8-4,3,UjaNet,DeepONMF_H3,0.9748,0.009859006035093,0.937,0.0246475150877324,0.98425,0.0061618787719331,0.9381669254556748,0.0243895964173664,0.960625,0.0154046969298328,anterior,84,True,False
85,9-8-6-4,4,UjaNet,DeepONMF_H4,0.9748,0.0067230945255886,0.937,0.0168077363139715,0.98425,0.0042019340784928,0.9379386054978566,0.0163318698483335,0.960625,0.0105048351962322,nueva_4_capas,85,True,False
86,11-8-5,3,UjaNet,DeepONMF_H3,0.9748,0.0050199601592045,0.937,0.0125499003980111,0.98425,0.0031374750995028,0.9378888905341124,0.0131135483997951,0.960625,0.0078436877487569,anterior,86,True,False
87,17-4,2,UjaNet,DeepONMF_H2,0.9748,0.009121403400793,0.937,0.0228035085019827,0.98425,0.0057008771254956,0.9378824396405672,0.0230603239906667,0.960625,0.0142521928137392,anterior,87,True,False
88,13-10-3,3,UjaNet,DeepONMF_H3,0.9748,0.0100598210719673,0.937,0.0251495526799185,0.98425,0.0062873881699797,0.937871401226836,0.0253139127940294,0.960625,0.015718470424949,anterior,88,True,False
89,9-8-5-3,4,UjaNet,DeepONMF_H4,0.9744,0.0084142735871851,0.936,0.0210356839679626,0.984,0.0052589209919906,0.9375645361774269,0.0209756013528011,0.96,0.0131473024799766,nueva_4_capas,89,True,False
90,9-7-5-2,4,UjaNet,DeepONMF_H4,0.9744,0.0060663003552412,0.936,0.0151657508881031,0.984,0.0037914377220257,0.937516885333018,0.0147104874587769,0.96,0.0094785943050644,nueva_4_capas,90,True,False
91,10-8-7-5-3,5,UjaNet,DeepONMF_H5,0.9744,0.011081516141756,0.936,0.0277037903543901,0.984,0.0069259475885975,0.9375107246859072,0.0269821505969704,0.96,0.0173148689714938,nueva_5_capas,91,True,False
92,9-6-3,3,UjaNet,DeepONMF_H3,0.9744,0.0108074048688849,0.936,0.0270185121722125,0.984,0.0067546280430531,0.9373334355669192,0.0264444993618969,0.96,0.0168865701076328,anterior,92,True,False
93,16-7,2,UjaNet,DeepONMF_H2,0.9744,0.0097365291557104,0.936,0.0243413228892762,0.984,0.006085330722319,0.9371787126466128,0.0237833556262723,0.96,0.0152133268057976,anterior,93,True,False
94,10-8-6-3,4,UjaNet,DeepONMF_H4,0.9744,0.0093166517590816,0.936,0.0232916293977042,0.984,0.005822907349426,0.9368670040192566,0.0232842085449158,0.96,0.0145572683735651,nueva_4_capas,94,True,False
95,11-6,2,UjaNet,DeepONMF_H2,0.974,0.0156204993518133,0.935,0.0390512483795332,0.98375,0.0097628120948833,0.9377711462374132,0.0364407500279412,0.959375,0.0244070302372083,anterior,95,True,False
96,11-6-3,3,UjaNet,DeepONMF_H3,0.974,0.012884098726725,0.935,0.0322102468168128,0.98375,0.0080525617042032,0.9368187888433942,0.0311540776845401,0.959375,0.0201314042605079,anterior,96,True,False
97,16-12-8-4,4,UjaNet,DeepONMF_H4,0.974,0.006164414002969,0.935,0.0154110350074224,0.98375,0.0038527587518556,0.9366865325699252,0.0152256157310804,0.959375,0.009631896879639,anterior,97,True,False
98,6-5-4-3,4,UjaNet,DeepONMF_H4,0.974,0.0070710678118654,0.935,0.0176776695296636,0.98375,0.0044194173824159,0.9365432081633868,0.0175234637706103,0.959375,0.0110485434560397,nueva_4_capas,98,True,False
99,15-7-6,3,UjaNet,DeepONMF_H3,0.974,0.0143527000944073,0.935,0.0358817502360183,0.98375,0.0089704375590045,0.936290751192862,0.0353696134784904,0.959375,0.0224260938975114,anterior,99,True,False
100,12-8-4,3,UjaNet,DeepONMF_H3,0.974,0.0101980390271855,0.935,0.0254950975679639,0.98375,0.006373774391991,0.9362241372455824,0.0249377323141747,0.959375,0.0159344359799774,anterior,100,True,False
101,6-4-3,3,UjaNet,DeepONMF_H3,0.974,0.0104880884817015,0.935,0.0262202212042537,0.98375,0.0065550553010634,0.9360824495415032,0.0259588489451068,0.959375,0.0163876382526586,anterior,101,True,False
102,12-9-8-6-4,5,UjaNet,DeepONMF_H5,0.974,0.0090553851381374,0.935,0.0226384628453435,0.98375,0.0056596157113359,0.9355205531894192,0.0224745056633338,0.959375,0.0141490392783397,nueva_5_capas,102,True,False
103,12-6-5,3,UjaNet,DeepONMF_H3,0.9736,0.0138130373198656,0.934,0.0345325932996639,0.9835,0.008633148324916,0.9364640390531832,0.032562764478951,0.95875,0.02158287081229,anterior,103,True,False
104,10-8-6-5,4,UjaNet,DeepONMF_H4,0.9736,0.0074027022093286,0.934,0.0185067555233217,0.9835,0.0046266888808305,0.936376884326238,0.0173561486853089,0.95875,0.011566722202076,nueva_4_capas,104,True,False
105,10-4,2,UjaNet,DeepONMF_H2,0.9736,0.0084142735871849,0.934,0.0210356839679626,0.9835,0.0052589209919906,0.9362531320674724,0.0206594466560467,0.95875,0.0131473024799766,anterior,105,True,False
106,7-5-4,3,UjaNet,DeepONMF_H3,0.9736,0.0077974354758471,0.934,0.0194935886896179,0.9835,0.0048733971724044,0.935722744321282,0.019282084717042,0.95875,0.0121834929310111,anterior,106,True,False
107,12-10-8-6-4,5,UjaNet,DeepONMF_H5,0.9736,0.008414273587185,0.934,0.0210356839679627,0.9835,0.0052589209919907,0.9355794700332124,0.0206409057046486,0.95875,0.0131473024799766,anterior,107,True,False
108,17-11-4,3,UjaNet,DeepONMF_H3,0.9736,0.0101390334845092,0.934,0.0253475837112731,0.9835,0.0063368959278182,0.9355696792731454,0.0251444327427506,0.95875,0.0158422398195457,anterior,108,True,False
109,12-10-7-4,4,UjaNet,DeepONMF_H4,0.9736,0.0109909053312273,0.934,0.0274772633280682,0.9835,0.006869315832017,0.9355318456827912,0.0269069991394825,0.95875,0.0171732895800426,anterior,109,True,False
110,16-3,2,UjaNet,DeepONMF_H2,0.9736,0.0062289646009589,0.934,0.0155724115023974,0.9835,0.0038931028755992,0.9354495520107158,0.0148856232808052,0.95875,0.0097327571889984,anterior,110,True,False
111,8-3,2,UjaNet,DeepONMF_H2,0.9736,0.0111713920350152,0.934,0.0279284800875378,0.9835,0.0069821200218845,0.9352429863538392,0.0272340496596892,0.95875,0.0174553000547112,anterior,111,True,False
112,13-6,2,UjaNet,DeepONMF_H2,0.9736,0.0060663003552412,0.934,0.0151657508881031,0.9835,0.0037914377220257,0.9351444347463396,0.0143021159706781,0.95875,0.0094785943050644,anterior,112,True,False
113,12-3,2,UjaNet,DeepONMF_H2,0.9736,0.0095289033996572,0.934,0.0238222584991432,0.9835,0.0059555646247857,0.9350051532668808,0.0233643440840318,0.95875,0.0148889115619644,anterior,113,True,False
114,9-8-4,3,UjaNet,DeepONMF_H3,0.9736,0.0093166517590816,0.934,0.0232916293977043,0.9835,0.005822907349426,0.93486266343155,0.02305912229572,0.95875,0.0145572683735651,anterior,114,True,False
115,11-4,2,UjaNet,DeepONMF_H2,0.9732,0.006572670690062,0.933,0.0164316767251549,0.98325,0.0041079191812887,0.9357121848837252,0.0161059790518267,0.958125,0.0102697979532218,anterior,115,True,False
116,15-8,2,UjaNet,DeepONMF_H2,0.9732,0.0142548237449644,0.933,0.0356370593624109,0.98325,0.0089092648406026,0.9355419454739416,0.0323652338451973,0.958125,0.0222731621015068,anterior,116,True,False
117,18-14-10-7-4,5,UjaNet,DeepONMF_H5,0.9732,0.0108258948821794,0.933,0.0270647372054487,0.98325,0.0067661843013622,0.9350631940311016,0.0273676332020915,0.958125,0.0169154607534054,anterior,117,True,False
118,7-5-4-3,4,UjaNet,DeepONMF_H4,0.9732,0.009121403400793,0.933,0.0228035085019827,0.98325,0.0057008771254956,0.9342089454627892,0.0225725055391152,0.958125,0.0142521928137392,anterior,118,True,False
119,10-9-7-5-4,5,UjaNet,DeepONMF_H5,0.9732,0.008555699854483,0.933,0.0213892496362074,0.98325,0.0053473124090518,0.9338776886297326,0.021078211192306,0.958125,0.0133682810226296,nueva_5_capas,119,True,False
120,12-9-6,3,UjaNet,DeepONMF_H3,0.9732,0.0112782977438973,0.933,0.0281957443597433,0.98325,0.0070489360899358,0.9338523740025964,0.027885082572577,0.958125,0.0176223402248396,anterior,120,True,False
121,13-10-8-6-4,5,UjaNet,DeepONMF_H5,0.9732,0.0088994381845147,0.933,0.0222485954612869,0.98325,0.0055621488653218,0.933577149760606,0.0218389778349334,0.958125,0.0139053721633043,nueva_5_capas,121,True,False
122,13-12,2,UjaNet,DeepONMF_H2,0.9728,0.0060991802727907,0.932,0.0152479506819768,0.9830000000000002,0.0038119876704942,0.9344688317059872,0.0146995019655912,0.9575,0.0095299691762355,anterior,122,True,False
123,15-11-7,3,UjaNet,DeepONMF_H3,0.9728,0.0088994381845148,0.932,0.0222485954612869,0.983,0.0055621488653217,0.9343694305199391,0.0212575956199022,0.9575,0.0139053721633043,anterior,123,True,False
124,10-8-4,3,UjaNet,DeepONMF_H3,0.9728,0.0078230428862432,0.932,0.0195576072156079,0.983,0.004889401803902,0.934320186180711,0.0184017421577181,0.9575,0.0122235045097549,anterior,124,True,False
125,11-9-7-5-3,5,UjaNet,DeepONMF_H5,0.9728,0.0094445751624941,0.932,0.0236114379062351,0.983,0.0059028594765588,0.934279330251656,0.021726778003474,0.9575,0.014757148691397,nueva_5_capas,125,True,False
126,8-6-3,3,UjaNet,DeepONMF_H3,0.9728,0.0100598210719674,0.932,0.0251495526799186,0.983,0.0062873881699796,0.934214007270362,0.023379085132792,0.9575,0.0157184704249491,anterior,126,True,False
127,12-8-3,3,UjaNet,DeepONMF_H3,0.9728,0.0075630681604756,0.932,0.018907670401189,0.983,0.0047269176002972,0.9341839210920984,0.0185951907528015,0.9575,0.0118172940007431,anterior,127,True,False
