pareja,clasificador,tipo_matriz,decreciente,creciente,delta_Score,delta_Accuracy,delta_Sensitivity,delta_Specificity,delta_Precision
1,KNN,H,17-11,11-17,-0.03562499999999991,-0.022800000000000153,-0.05699999999999994,-0.014249999999999985,-0.0367658588715708
1,KNN,W,17-11,11-17,-0.032500000000000084,-0.02079999999999993,-0.05199999999999988,-0.0129999999999999,-0.056141241386482355
1,SVM,H,17-11,11-17,-0.012499999999999956,-0.008000000000000007,-0.019999999999999907,-0.0050000000000000044,-0.0175233509592585
1,SVM,W,17-11,11-17,-0.010624999999999996,-0.006799999999999917,-0.017000000000000015,-0.004250000000000087,-0.015060961165472508
1,UjaNet,H,17-11,11-17,-0.009375000000000022,-0.006000000000000005,-0.014999999999999902,-0.003750000000000031,-0.014291008436140618
1,UjaNet,W,17-11,11-17,-0.016250000000000098,-0.010399999999999965,-0.025999999999999912,-0.006500000000000061,-0.02502364172932947
2,KNN,H,9-4,4-9,-0.07312499999999988,-0.04679999999999995,-0.11699999999999999,-0.029249999999999998,-0.07009056797796609
2,KNN,W,9-4,4-9,0.011874999999999969,0.007600000000000051,0.019000000000000017,0.004749999999999921,0.02097265233479162
2,SVM,H,9-4,4-9,-0.02124999999999999,-0.013600000000000056,-0.03400000000000014,-0.008499999999999952,-0.026568778170974028
2,SVM,W,9-4,4-9,-0.007500000000000173,-0.004799999999999804,-0.01200000000000001,-0.0030000000000000027,-0.013158748503446782
2,UjaNet,H,9-4,4-9,-0.003750000000000031,-0.0023999999999999577,-0.006000000000000005,-0.0015000000000000568,-0.005652374073568445
2,UjaNet,W,9-4,4-9,-0.014375000000000027,-0.009199999999999986,-0.0229999999999998,-0.005750000000000033,-0.028373854883050997
3,KNN,H,11-10,10-11,-0.025000000000000022,-0.016000000000000125,-0.040000000000000036,-0.009999999999999898,-0.022590821379131043
3,KNN,W,11-10,10-11,0.011874999999999969,0.007599999999999829,0.019000000000000072,0.004749999999999921,0.01997346408403705
3,SVM,H,11-10,10-11,0.0006249999999999867,0.00040000000000006697,0.0009999999999998899,0.0002500000000000835,0.0014832308206580436
3,SVM,W,11-10,10-11,-0.008749999999999925,-0.00560000000000016,-0.014000000000000012,-0.0034999999999999476,-0.011867683136199125
3,UjaNet,H,11-10,10-11,-0.007500000000000062,-0.0048000000000000265,-0.0119999999999999,-0.0030000000000000027,-0.013716808723369223
3,UjaNet,W,11-10,10-11,0.0024999999999999467,0.0015999999999999348,0.0039999999999998925,0.0010000000000000009,-0.0013796630130485932
4,KNN,H,16-10,10-16,-0.04812499999999997,-0.03080000000000005,-0.07699999999999996,-0.01924999999999999,-0.06257339742457113
4,KNN,W,16-10,10-16,-0.010624999999999996,-0.006800000000000028,-0.017000000000000015,-0.004249999999999865,-0.021546474468027932
4,SVM,H,16-10,10-16,-0.018750000000000044,-0.01200000000000001,-0.029999999999999916,-0.007500000000000062,-0.02646184215224412
4,SVM,W,16-10,10-16,0.0068749999999999645,0.0044000000000000705,0.010999999999999899,0.00275000000000003,0.009437132613796861
4,UjaNet,H,16-10,10-16,-0.012500000000000067,-0.008000000000000007,-0.019999999999999907,-0.004999999999999893,-0.020123769163591154
4,UjaNet,W,16-10,10-16,-0.015625,-0.010000000000000009,-0.025000000000000022,-0.006249999999999978,-0.025962481217584377
5,KNN,H,9-8,8-9,-0.01937499999999992,-0.012399999999999967,-0.031000000000000028,-0.007749999999999924,-0.015902576125261914
5,KNN,W,9-8,8-9,0.007499999999999951,0.0048000000000000265,0.0119999999999999,0.0030000000000000027,0.011300983409490484
5,SVM,H,9-8,8-9,-0.006249999999999978,-0.0040000000000000036,-0.010000000000000009,-0.0024999999999999467,-0.011476492884591516
5,SVM,W,9-8,8-9,-0.009375000000000022,-0.005999999999999894,-0.015000000000000124,-0.00374999999999992,-0.01726542254586938
5,UjaNet,H,9-8,8-9,-0.004375000000000018,-0.0027999999999999137,-0.007000000000000006,-0.0017500000000000293,-0.00831375297182102
5,UjaNet,W,9-8,8-9,-0.0050000000000001155,-0.0031999999999999806,-0.008000000000000007,-0.0020000000000000018,-0.010845440073137369
6,KNN,H,14-8,8-14,-0.03374999999999995,-0.021599999999999953,-0.05400000000000005,-0.013499999999999956,-0.02504869179049818
6,KNN,W,14-8,8-14,-0.026875000000000093,-0.017199999999999882,-0.04300000000000004,-0.010750000000000037,-0.02599893882694082
6,SVM,H,14-8,8-14,-0.01749999999999996,-0.011199999999999988,-0.028000000000000136,-0.007000000000000006,-0.02460441291243598
6,SVM,W,14-8,8-14,-0.010624999999999996,-0.006799999999999917,-0.017000000000000015,-0.004249999999999976,-0.018905576953630154
6,UjaNet,H,14-8,8-14,-0.006250000000000089,-0.0040000000000000036,-0.009999999999999898,-0.0025000000000000577,-0.009143547317236878
6,UjaNet,W,14-8,8-14,-0.014374999999999916,-0.009199999999999764,-0.02300000000000002,-0.005750000000000033,-0.023233812680009347
7,KNN,H,10-3,3-10,-0.0993750000000001,-0.06359999999999999,-0.15899999999999992,-0.03975000000000006,-0.10014312435340167
7,KNN,W,10-3,3-10,0.018125000000000058,0.011600000000000166,0.029000000000000026,0.007249999999999979,0.04815613156683618
7,SVM,H,10-3,3-10,-0.030625000000000013,-0.01959999999999995,-0.049000000000000044,-0.012249999999999983,-0.042734369604425226
7,SVM,W,10-3,3-10,0.001875000000000071,0.0011999999999998678,0.0030000000000000027,0.0007500000000001394,0.00538506503173708
7,UjaNet,H,10-3,3-10,-0.008125000000000049,-0.005199999999999982,-0.0129999999999999,-0.003249999999999975,-0.013112485825627629
7,UjaNet,W,10-3,3-10,-0.012500000000000067,-0.008000000000000007,-0.02000000000000013,-0.0050000000000000044,-0.021015807237394823
8,KNN,H,17-10,10-17,-0.04875000000000007,-0.031200000000000006,-0.07800000000000007,-0.019499999999999962,-0.03746853528825522
8,KNN,W,17-10,10-17,-0.03562499999999991,-0.02279999999999982,-0.056999999999999995,-0.014249999999999985,-0.04150324704203129
8,SVM,H,17-10,10-17,-0.014375000000000027,-0.009199999999999875,-0.02300000000000002,-0.005750000000000033,-0.02075042080643852
8,SVM,W,17-10,10-17,-0.016874999999999862,-0.010800000000000032,-0.026999999999999913,-0.006750000000000034,-0.024758643363721466
8,UjaNet,H,17-10,10-17,-0.0068750000000000755,-0.0044000000000000705,-0.010999999999999899,-0.00275000000000003,-0.010921463661798247
8,UjaNet,W,17-10,10-17,-0.02749999999999997,-0.01760000000000006,-0.04400000000000015,-0.01100000000000001,-0.042306590528895405
9,KNN,H,7-4,4-7,-0.05312500000000009,-0.03400000000000003,-0.08500000000000019,-0.02124999999999999,-0.05212177650484462
9,KNN,W,7-4,4-7,0.011249999999999982,0.007199999999999984,0.018000000000000016,0.0044999999999999485,0.000768027323500009
9,SVM,H,7-4,4-7,-0.012500000000000067,-0.008000000000000007,-0.020000000000000018,-0.0050000000000002265,-0.016553908613647805
9,SVM,W,7-4,4-7,-0.00374999999999992,-0.0024000000000000687,-0.006000000000000005,-0.0014999999999998348,-0.006711867320021936
9,UjaNet,H,7-4,4-7,-0.003750000000000031,-0.0024000000000000687,-0.006000000000000005,-0.0015000000000000568,-0.005360589039769215
9,UjaNet,W,7-4,4-7,-0.007500000000000173,-0.0048000000000000265,-0.0119999999999999,-0.0030000000000000027,-0.01005186450072526
10,KNN,H,9-8-7,7-8-9,-0.015625,-0.010000000000000009,-0.025000000000000022,-0.006249999999999978,-0.006763429350423622
10,KNN,W,9-8-7,7-8-9,-0.0012499999999999734,-0.0008000000000000229,-0.0020000000000000018,-0.0004999999999999449,0.0064429342727151395
10,SVM,H,9-8-7,7-8-9,-0.012499999999999956,-0.008000000000000007,-0.020000000000000018,-0.004999999999999893,-0.016544049585334952
10,SVM,W,9-8-7,7-8-9,-0.018125000000000058,-0.011600000000000166,-0.029000000000000026,-0.007249999999999979,-0.034598236515099856
10,UjaNet,H,9-8-7,7-8-9,0.00374999999999992,0.0023999999999999577,0.006000000000000005,0.0014999999999999458,0.006147230542235205
10,UjaNet,W,9-8-7,7-8-9,0.0,0.0,0.0,0.0,0.0020357045796377538
