distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,origen,pareja,sentido,tipo_matriz
11-17,2,KNN,DeepONMF_H2,0.884,0.0123288280059378,0.7100000000000001,0.0308220700148448,0.9275,0.0077055175037112,0.762003638949262,0.0205216811039126,0.81875,0.019263793759278,invertida_creciente,1,creciente,H
17-11,2,KNN,DeepONMF_H2,0.9068000000000002,0.0091214034007931,0.767,0.0228035085019827,0.94175,0.0057008771254957,0.7987694978208328,0.0113980442165222,0.8543749999999999,0.0142521928137391,anterior,1,decreciente,H
11-17,2,KNN,DeepONMF_W,0.7768,0.0078230428862431,0.442,0.0195576072156079,0.8605,0.0048894018039019,0.4541273094128697,0.0165502411661243,0.65125,0.0122235045097549,invertida_creciente,1,creciente,W
17-11,2,KNN,DeepONMF_W,0.7976,0.0062289646009589,0.4939999999999999,0.0155724115023975,0.8734999999999999,0.0038931028755993,0.5102685507993521,0.0251668255828258,0.6837500000000001,0.0097327571889983,anterior,1,decreciente,W
11-17,2,SVM,DeepONMF_H2,0.9456,0.0093166517590817,0.8640000000000001,0.0232916293977042,0.966,0.005822907349426,0.8689116152210492,0.02471978579204,0.915,0.0145572683735651,invertida_creciente,1,creciente,H
17-11,2,SVM,DeepONMF_H2,0.9536,0.0053665631459995,0.884,0.0134164078649988,0.971,0.0033541019662497,0.8864349661803077,0.0140073045374193,0.9275,0.0083852549156241,anterior,1,decreciente,H
11-17,2,SVM,DeepONMF_W,0.8588000000000001,0.0125379424149259,0.647,0.0313448560373149,0.91175,0.0078362140093286,0.6444996347744454,0.0262004093049178,0.779375,0.0195905350233219,invertida_creciente,1,creciente,W
17-11,2,SVM,DeepONMF_W,0.8656,0.0126015872016187,0.664,0.0315039680040466,0.916,0.0078759920010116,0.6595605959399179,0.0387610097437323,0.79,0.0196899800025291,anterior,1,decreciente,W
11-17,2,UjaNet,DeepONMF_H2,0.9748,0.0114542568506211,0.937,0.0286356421265526,0.98425,0.0071589105316382,0.9390100356772482,0.0284841726448616,0.960625,0.0178972763290954,invertida_creciente,1,creciente,H
17-11,2,UjaNet,DeepONMF_H2,0.9808,0.0083186537372341,0.952,0.0207966343430854,0.988,0.0051991585857713,0.9533010441133888,0.0197902156391248,0.97,0.0129978964644283,anterior,1,decreciente,H
11-17,2,UjaNet,DeepONMF_W,0.9312,0.0150066651858433,0.828,0.037516662964608,0.957,0.009379165741152,0.8336534528850231,0.036409613837648,0.8924999999999998,0.02344791435288,invertida_creciente,1,creciente,W
17-11,2,UjaNet,DeepONMF_W,0.9416,0.0069856996786291,0.8539999999999999,0.0174642491965729,0.9635,0.0043660622991432,0.8586770946143526,0.0143821005581271,0.90875,0.0109151557478581,anterior,1,decreciente,W
4-9,2,KNN,DeepONMF_H2,0.8932,0.0059329587896766,0.733,0.0148323969741912,0.93325,0.0037080992435478,0.7854740769662927,0.0308684872103868,0.8331250000000001,0.0092702481088695,invertida_creciente,2,creciente,H
9-4,2,KNN,DeepONMF_H2,0.94,0.0086023252670426,0.85,0.0215058131676065,0.9625,0.0053764532919016,0.8555646449442588,0.020465847197762,0.90625,0.0134411332297541,anterior,2,decreciente,H
4-9,2,KNN,DeepONMF_W,0.8396000000000001,0.0180776104615627,0.599,0.0451940261539066,0.8997499999999998,0.0112985065384766,0.632560083512403,0.0459473447064858,0.749375,0.0282462663461917,invertida_creciente,2,creciente,W
