distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,origen
10-11,2,KNN,DeepONMF_H2,0.8879999999999999,0.0116619037896905,0.72,0.0291547594742264,0.93,0.0072886898685565,0.7809006977763563,0.0270304198602256,0.825,0.0182217246713915,invertida_creciente
10-11,2,KNN,DeepONMF_W,0.7943999999999999,0.0109909053312272,0.486,0.0274772633280681,0.8714999999999999,0.006869315832017,0.5036232734455444,0.0401698024917341,0.67875,0.0171732895800426,invertida_creciente
10-11,2,SVM,DeepONMF_H2,0.9544,0.0051768716422178,0.8859999999999999,0.0129421791055447,0.9715,0.0032355447763862,0.8892664095630568,0.014941599425389,0.92875,0.0080888619409654,invertida_creciente
10-11,2,SVM,DeepONMF_W,0.8612,0.0033466401061363,0.653,0.0083666002653408,0.91325,0.0020916500663351,0.6480308603885716,0.009392648900998,0.7831250000000001,0.0052291251658379,invertida_creciente
10-11,2,UjaNet,DeepONMF_H2,0.9748,0.0113666177907062,0.937,0.0284165444767656,0.98425,0.0071041361191914,0.9375621409535192,0.0285958785678834,0.960625,0.0177603402979785,invertida_creciente
10-11,2,UjaNet,DeepONMF_W,0.9336,0.0093166517590816,0.834,0.0232916293977042,0.9585,0.005822907349426,0.8401159108324124,0.0190518096728108,0.89625,0.0145572683735651,invertida_creciente
10-16,2,KNN,DeepONMF_H2,0.8795999999999999,0.0086486993241757,0.6990000000000001,0.0216217483104396,0.92475,0.0054054370776099,0.7492040272780189,0.0207875410505395,0.811875,0.0135135926940247,invertida_creciente
10-16,2,KNN,DeepONMF_W,0.7896,0.0153231850475023,0.474,0.0383079626187559,0.8685,0.0095769906546889,0.4832745347839499,0.0483515547111435,0.67125,0.0239424766367224,invertida_creciente
10-16,2,SVM,DeepONMF_H2,0.944,0.0046904157598234,0.8600000000000001,0.0117260393995586,0.965,0.0029315098498895,0.8657112731024366,0.0136499425263548,0.9125,0.007328774624724,invertida_creciente
10-16,2,SVM,DeepONMF_W,0.8672000000000001,0.0113666177907063,0.6679999999999999,0.0284165444767656,0.917,0.0071041361191913,0.661672512904275,0.0308851231084506,0.7925,0.0177603402979785,invertida_creciente
10-16,2,UjaNet,DeepONMF_H2,0.9716,0.0110815161417561,0.929,0.0277037903543901,0.98225,0.0069259475885975,0.9304994506289572,0.0273260221889277,0.955625,0.0173148689714938,invertida_creciente
10-16,2,UjaNet,DeepONMF_W,0.9304,0.0166373074744683,0.826,0.0415932686861708,0.9565,0.0103983171715427,0.8343821152964811,0.0380336491505579,0.89125,0.0259957929288567,invertida_creciente
10-17,2,KNN,DeepONMF_H2,0.874,0.0048989794855664,0.6849999999999999,0.0122474487139158,0.92125,0.0030618621784789,0.7580532784828035,0.0149120227280923,0.803125,0.0076546554461974,invertida_creciente
10-17,2,KNN,DeepONMF_W,0.7832,0.0206203782700512,0.458,0.051550945675128,0.8644999999999999,0.012887736418782,0.4843727792357753,0.0680783493924869,0.6612500000000001,0.032219341046955,invertida_creciente
10-17,2,SVM,DeepONMF_H2,0.9468,0.007823042886243,0.867,0.019557607215608,0.96675,0.0048894018039019,0.8726484228593051,0.0199512691246995,0.916875,0.0122235045097549,invertida_creciente
10-17,2,SVM,DeepONMF_W,0.8548,0.0072938330115241,0.637,0.0182345825288104,0.90925,0.0045586456322025,0.6343858183240727,0.0190206813496257,0.7731250000000001,0.0113966140805065,invertida_creciente
10-17,2,UjaNet,DeepONMF_H2,0.974,0.0137113092008021,0.935,0.0342782730020051,0.98375,0.0085695682505013,0.9377558574795474,0.0316754215252402,0.959375,0.0214239206262532,invertida_creciente
10-17,2,UjaNet,DeepONMF_W,0.9248,0.0128530152104477,0.8119999999999999,0.0321325380261192,0.953,0.0080331345065298,0.8197196580948154,0.031741702061816,0.8825000000000001,0.0200828362663245,invertida_creciente
11-17,2,KNN,DeepONMF_H2,0.884,0.0123288280059378,0.7100000000000001,0.0308220700148448,0.9275,0.0077055175037112,0.762003638949262,0.0205216811039126,0.81875,0.019263793759278,invertida_creciente
