,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,35,0,3,0,2
real_AS,0,35,3,0,2
real_MR,1,1,36,0,2
real_MS,0,0,9,27,4
real_MVP,4,0,13,2,21
