,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,38,0,1,1,0
real_AS,0,25,2,11,2
real_MR,2,6,27,5,0
real_MS,2,5,0,30,3
real_MVP,11,3,3,1,22
