,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,39,0,0,0,1
real_AS,0,39,0,0,1
real_MR,1,6,31,2,0
real_MS,1,0,1,36,2
real_MVP,2,1,2,1,34
