distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
14-11-8-6-4,5,KNN,DeepONMF_H5,1,157,30,10,3,0.935,0.98125,0.75,0.9401197604790419,0.865625
14-11-8-6-4,5,KNN,DeepONMF_H5,2,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
14-11-8-6-4,5,KNN,DeepONMF_H5,3,156,31,9,4,0.935,0.975,0.775,0.9454545454545454,0.875
14-11-8-6-4,5,KNN,DeepONMF_H5,4,158,33,7,2,0.955,0.9875,0.825,0.9575757575757575,0.90625
14-11-8-6-4,5,KNN,DeepONMF_H5,5,159,32,8,1,0.955,0.99375,0.8,0.9520958083832335,0.8968750000000001
14-11-8-6-4,5,KNN,DeepONMF_W,1,145,31,9,15,0.88,0.90625,0.775,0.9415584415584416,0.840625
14-11-8-6-4,5,KNN,DeepONMF_W,2,141,34,6,19,0.875,0.88125,0.85,0.9591836734693877,0.865625
14-11-8-6-4,5,KNN,DeepONMF_W,3,145,33,7,15,0.89,0.90625,0.825,0.9539473684210527,0.865625
14-11-8-6-4,5,KNN,DeepONMF_W,4,148,31,9,12,0.895,0.925,0.775,0.9426751592356688,0.8500000000000001
14-11-8-6-4,5,KNN,DeepONMF_W,5,148,35,5,12,0.915,0.925,0.875,0.9673202614379085,0.9
14-11-8-6-4,5,SVM,DeepONMF_H5,1,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
14-11-8-6-4,5,SVM,DeepONMF_H5,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
14-11-8-6-4,5,SVM,DeepONMF_H5,3,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
14-11-8-6-4,5,SVM,DeepONMF_H5,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
14-11-8-6-4,5,SVM,DeepONMF_H5,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
14-11-8-6-4,5,SVM,DeepONMF_W,1,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
14-11-8-6-4,5,SVM,DeepONMF_W,2,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
14-11-8-6-4,5,SVM,DeepONMF_W,3,147,38,2,13,0.925,0.91875,0.95,0.9865771812080537,0.934375
14-11-8-6-4,5,SVM,DeepONMF_W,4,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
14-11-8-6-4,5,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
14-11-8-6-4,5,UjaNet,DeepONMF_H5,1,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
14-11-8-6-4,5,UjaNet,DeepONMF_H5,2,155,40,0,5,0.975,0.96875,1.0,1.0,0.984375
14-11-8-6-4,5,UjaNet,DeepONMF_H5,3,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
14-11-8-6-4,5,UjaNet,DeepONMF_H5,4,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
14-11-8-6-4,5,UjaNet,DeepONMF_H5,5,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
14-11-8-6-4,5,UjaNet,DeepONMF_W,1,155,39,1,5,0.97,0.96875,0.975,0.9935897435897436,0.971875
14-11-8-6-4,5,UjaNet,DeepONMF_W,2,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
14-11-8-6-4,5,UjaNet,DeepONMF_W,3,150,35,5,10,0.925,0.9375,0.875,0.967741935483871,0.90625
14-11-8-6-4,5,UjaNet,DeepONMF_W,4,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
14-11-8-6-4,5,UjaNet,DeepONMF_W,5,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
