indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
67,original,ONMF,22-15-10,3,0.05,0.1801915547734568,10x212,126x10,0.031237900024279952
68,original,ONMF,22-15-10,3,0.05,0.18073183155017294,10x212,126x10,0.03342899994459003
69,original,ONMF,22-15-10,3,0.05,0.1813503568127259,10x212,126x10,0.03197210002690554
70,original,ONMF,22-15-10,3,0.05,0.17986368435678476,10x212,126x10,0.031365000060759485
71,original,ONMF,22-15-10,3,0.05,0.18103792787181042,10x212,126x10,0.03395289997570217
72,original,ONMF,22-15-10,3,0.05,0.1823095535606187,10x212,126x10,0.03021699993405491
73,original,ONMF,22-15-10,3,0.05,0.18025764972587371,10x212,126x10,0.033003199961967766
74,original,ONMF,22-15-10,3,0.05,0.18043366360271937,10x212,126x10,0.03233839990571141
75,original,ONMF,22-15-10,3,0.05,0.18304035174289202,10x212,126x10,0.033219799981452525
76,original,ONMF,22-15-10,3,0.05,0.17898704220437278,10x212,126x10,0.03182359994389117
77,original,ONMF,22-15-10,3,0.05,0.17943297547414291,10x212,126x10,0.03281579993199557
78,original,ONMF,22-15-10,3,0.05,0.1817714176252209,10x212,126x10,0.029683200060389936
79,original,ONMF,22-15-10,3,0.05,0.18198874412345428,10x212,126x10,0.03188750008121133
80,original,ONMF,22-15-10,3,0.05,0.1821638783476832,10x212,126x10,0.03312269994057715
81,original,ONMF,22-15-10,3,0.05,0.1794237017848244,10x212,126x10,0.03648030001204461
82,original,ONMF,22-15-10,3,0.05,0.18149231763441515,10x212,126x10,0.03575260005891323
83,original,ONMF,22-15-10,3,0.05,0.1795204774834844,10x212,126x10,0.03155800001695752
84,original,ONMF,22-15-10,3,0.05,0.17998836314432054,10x212,126x10,0.03474929998628795
85,original,ONMF,22-15-10,3,0.05,0.18251777278211562,10x212,126x10,0.033484599902294576
86,original,ONMF,22-15-10,3,0.05,0.1814694840616678,10x212,126x10,0.030401800060644746
87,original,ONMF,22-15-10,3,0.05,0.18029569716928273,10x212,126x10,0.03202250006143004
88,original,ONMF,22-15-10,3,0.05,0.17964305604933198,10x212,126x10,0.032613699906505644
89,original,ONMF,22-15-10,3,0.05,0.18097772734295023,10x212,126x10,0.031938100000843406
90,original,ONMF,22-15-10,3,0.05,0.18039338587695378,10x212,126x10,0.031947099952958524
91,original,ONMF,22-15-10,3,0.05,0.17886149982737606,10x212,126x10,0.03340590000152588
92,original,ONMF,22-15-10,3,0.05,0.1820362308934821,10x212,126x10,0.03269769996404648
93,original,ONMF,22-15-10,3,0.05,0.18241491438321616,10x212,126x10,0.03250750002916902
94,original,ONMF,22-15-10,3,0.05,0.17955664329122098,10x212,126x10,0.03215690003708005
95,original,ONMF,22-15-10,3,0.05,0.18264266612068167,10x212,126x10,0.030622699996456504
96,original,ONMF,22-15-10,3,0.05,0.18187390748062568,10x212,126x10,0.03172420000191778
97,original,ONMF,22-15-10,3,0.05,0.1808821166803234,10x212,126x10,0.03126469999551773
98,original,ONMF,22-15-10,3,0.05,0.17890263720573055,10x212,126x10,0.03245649999007583
99,original,ONMF,22-15-10,3,0.05,0.1778944241925268,10x212,126x10,0.030666800099425018
100,original,ONMF,22-15-10,3,0.05,0.17779444792948912,10x212,126x10,0.03151690005324781
101,original,ONMF,22-15-10,3,0.05,0.1777530712012895,10x212,126x10,0.031354600097984076
102,original,ONMF,22-15-10,3,0.05,0.17768500397321432,10x212,126x10,0.03315660008229315
103,original,ONMF,22-15-10,3,0.05,0.17836384186128384,10x212,126x10,0.03168070001993328
104,original,ONMF,22-15-10,3,0.05,0.17732225007785887,10x212,126x10,0.032581400009803474
105,original,ONMF,22-15-10,3,0.05,0.17840439589169793,10x212,126x10,0.032927600084804
106,original,ONMF,22-15-10,3,0.05,0.17826966987643333,10x212,126x10,0.032381400000303984
107,original,ONMF,22-15-10,3,0.05,0.1790834920032842,10x212,126x10,0.03294479998294264
108,original,ONMF,22-15-10,3,0.05,0.17733176751348884,10x212,126x10,0.03254469996318221
109,original,ONMF,22-15-10,3,0.05,0.1788387712100431,10x212,126x10,0.033844899968244135
110,original,ONMF,22-15-10,3,0.05,0.17750061208650114,10x212,126x10,0.03209960006643087
111,original,ONMF,22-15-10,3,0.05,0.17764747401989597,10x212,126x10,0.03173579997383058
112,original,ONMF,22-15-10,3,0.05,0.17824271713956003,10x212,126x10,0.0330487999599427
113,original,ONMF,22-15-10,3,0.05,0.18069950008100957,10x212,126x10,0.03531069995369762
114,original,ONMF,22-15-10,3,0.05,0.1778623332239898,10x212,126x10,0.03426039998885244
115,original,ONMF,22-15-10,3,0.05,0.17802090642913532,10x212,126x10,0.031412200070917606
116,original,ONMF,22-15-10,3,0.05,0.17763182452862833,10x212,126x10,0.032246400020085275
117,original,ONMF,22-15-10,3,0.05,0.17877608476465678,10x212,126x10,0.03124539996497333
118,original,ONMF,22-15-10,3,0.05,0.17862418930035023,10x212,126x10,0.030974099994637072
119,original,ONMF,22-15-10,3,0.05,0.17862154831684923,10x212,126x10,0.031187199987471104
120,original,ONMF,22-15-10,3,0.05,0.177602841789441,10x212,126x10,0.03139399993233383
121,original,ONMF,22-15-10,3,0.05,0.17979084597525266,10x212,126x10,0.032242999994196
122,original,ONMF,22-15-10,3,0.05,0.1781645243955715,10x212,126x10,0.03273720003198832
123,original,ONMF,22-15-10,3,0.05,0.1774489702199247,10x212,126x10,0.031013699946925044
124,original,ONMF,22-15-10,3,0.05,0.17894302505214105,10x212,126x10,0.03243580006528646
125,original,ONMF,22-15-10,3,0.05,0.18079842362574536,10x212,126x10,0.03252969996538013
126,original,ONMF,22-15-10,3,0.05,0.17983054225178696,10x212,126x10,0.031646199990063906
127,original,ONMF,22-15-10,3,0.05,0.18038576217482394,10x212,126x10,0.03203410003334284
128,original,ONMF,22-15-10,3,0.05,0.1796749762660391,10x212,126x10,0.0306235000025481
129,original,ONMF,22-15-10,3,0.05,0.17854844652022975,10x212,126x10,0.03140440001152456
