,N,AS,MR,MS,MVP
N,95.0,0.0,1.0,0.5,3.5000000000000004
AS,0.0,94.0,4.0,1.0,1.0
MR,4.0,4.5,86.0,4.0,1.5
MS,1.0,0.0,3.0,93.0,3.0
MVP,4.5,2.5,2.0,1.5,89.5
