,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,39,0,0,0,1
real_AS,0,38,0,0,2
real_MR,0,4,34,1,1
real_MS,0,0,2,35,3
real_MVP,2,2,0,2,34
