epoca,loss_train,loss_val
1,1.3630667720970355,0.7756980657577515
2,0.841923608591682,0.4974168539047241
3,0.6161921338031167,0.42291155457496643
4,0.5671861316812666,0.4136009216308594
5,0.4493769571969384,0.3216709792613983
6,0.3882124635734056,0.2793665826320648
7,0.343314633557671,0.2450665831565857
8,0.2746197501883695,0.1963580846786499
9,0.23702720072316497,0.2021559178829193
10,0.2502779295471938,0.3168984651565552
11,0.24565178136292257,0.20368412137031555
12,0.1684311752354628,0.1742788553237915
13,0.14292103443049678,0.16331520676612854
14,0.13196514051799713,0.16916383802890778
15,0.13138850516100464,0.21906055510044098
16,0.13599161544545113,0.2194536179304123
17,0.09399991210605214,0.24311929941177368
18,0.06468214839084171,0.1855633705854416
19,0.05470502754829604,0.2853390574455261
20,0.07038443272253253,0.29132723808288574
21,0.04886846644053309,0.32653042674064636
22,0.047062831300297,0.31461918354034424
23,0.07751350874375355,0.18066270649433136
