Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.019441 ± 0.087287,0.021346 ± 0.086837,0.020746 ± 0.086984,0.017977 ± 0.087603,0.020351 ± 0.087078,6.625883379128719e-14
SBV 2,0.020908 ± 0.086945,0.032028 ± 0.083463,0.019211 ± 0.087338,0.021546 ± 0.086787,0.016222 ± 0.087947,7.785969889857193e-55
SBV 3,0.020624 ± 0.087013,0.017867 ± 0.087625,0.030107 ± 0.084180,0.021747 ± 0.086737,0.031535 ± 0.083652,3.1158452076404353e-25
SBV 4,0.018422 ± 0.087509,0.027405 ± 0.085106,0.024925 ± 0.085871,0.018214 ± 0.087553,0.021424 ± 0.086818,1.6698785543007797e-18
SBV 5,0.021607 ± 0.086772,0.026107 ± 0.085516,0.021412 ± 0.086821,0.020194 ± 0.087114,0.019640 ± 0.087242,3.638869212141585e-18
SBV 6,0.020961 ± 0.086932,0.018875 ± 0.087412,0.023503 ± 0.086274,0.018152 ± 0.087566,0.018294 ± 0.087537,1.399787119479073e-08
SBV 7,0.017881 ± 0.087623,0.020149 ± 0.087125,0.020784 ± 0.086974,0.020898 ± 0.086947,0.021007 ± 0.086920,1.9473309635896506e-12
