comparación,distancia
N-AS,0.44082136596093247
N-MR,0.2118376883047165
N-MS,0.04422208678725914
N-MVP,0.1964249532853416
AS-MR,0.652659054265649
AS-MS,0.3965992791736733
AS-MVP,0.6372463192462741
MR-MS,0.25605977509197564
MR-MVP,0.015412735019374901
MS-MVP,0.24064704007260074
