,N,AS,MR,MS,MVP
N,91.5,0.0,0.0,2.0,6.5
AS,0.0,96.5,2.5,0.0,1.0
MR,3.0,6.0,90.0,0.5,0.5
MS,0.0,0.5,7.000000000000001,87.5,5.0
MVP,3.0,5.5,10.5,3.5000000000000004,77.5
