distribucion,representacion,padding_aplicado,forma_original,forma_ujanet,filas_cero_anadidas,columnas_cero_anadidas
10-9-7-5,DeepONMF_W,False,126x5,126x5,0,0
10-9-7-5,DeepONMF_H4,False,5x212,5x212,0,0
