,N,AS,MR,MS,MVP
N,95.0,0.0,1.0,0.0,4.0
AS,0.0,94.0,3.5000000000000004,1.0,1.5
MR,0.5,2.0,94.5,1.5,1.5
MS,0.0,0.5,1.5,93.5,4.5
MVP,2.0,2.5,0.5,2.0,93.0
