,N,AS,MR,MS,MVP
N,92.0,0.0,2.5,1.5,4.0
AS,0.5,89.0,4.5,4.5,1.5
MR,2.0,9.0,78.0,7.5,3.5000000000000004
MS,3.0,2.5,4.5,83.5,6.5
MVP,4.5,7.5,7.000000000000001,8.0,73.0
