Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.019195 ± 0.087342,0.018981 ± 0.087389,0.025159 ± 0.085802,0.018533 ± 0.087486,0.017977 ± 0.087603,1.935290636022795e-07
SBV 2,0.019610 ± 0.087249,0.022622 ± 0.086511,0.020876 ± 0.086952,0.018635 ± 0.087464,0.022903 ± 0.086436,0.0019421659264613228
SBV 3,0.019614 ± 0.087248,0.021332 ± 0.086841,0.021128 ± 0.086891,0.027303 ± 0.085139,0.019921 ± 0.087178,6.362560759987348e-18
SBV 4,0.023968 ± 0.086145,0.017584 ± 0.087683,0.021293 ± 0.086850,0.020570 ± 0.087026,0.031588 ± 0.083631,8.766549457531529e-20
SBV 5,0.019403 ± 0.087295,0.019297 ± 0.087319,0.029012 ± 0.084567,0.018950 ± 0.087396,0.021685 ± 0.086753,3.1451574713714795e-09
SBV 6,0.020770 ± 0.086978,0.030448 ± 0.084057,0.028072 ± 0.084886,0.022076 ± 0.086653,0.018769 ± 0.087435,1.4769555314062206e-18
SBV 7,0.018314 ± 0.087532,0.034390 ± 0.082510,0.019104 ± 0.087362,0.019689 ± 0.087231,0.019010 ± 0.087383,2.483440059138459e-23
