Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.019460 ± 0.087283,0.020782 ± 0.086975,0.020509 ± 0.087040,0.020685 ± 0.086998,0.031590 ± 0.083631,7.689704086926102e-14
SBV 2,0.018989 ± 0.087387,0.029761 ± 0.084304,0.026433 ± 0.085415,0.019117 ± 0.087359,0.023323 ± 0.086323,4.154249341224364e-27
SBV 3,0.024223 ± 0.086073,0.033616 ± 0.082831,0.028416 ± 0.084771,0.024736 ± 0.085926,0.018553 ± 0.087482,9.527758215068013e-19
SBV 4,0.019368 ± 0.087303,0.020696 ± 0.086996,0.022310 ± 0.086593,0.022037 ± 0.086663,0.020582 ± 0.087023,8.03793153694756e-06
SBV 5,0.019097 ± 0.087364,0.019727 ± 0.087222,0.019663 ± 0.087237,0.019719 ± 0.087224,0.019487 ± 0.087277,0.05999439383824013
SBV 6,0.020177 ± 0.087119,0.019472 ± 0.087280,0.021939 ± 0.086688,0.018356 ± 0.087523,0.021062 ± 0.086907,3.636761057383209e-07
SBV 7,0.020539 ± 0.087033,0.021145 ± 0.086887,0.022156 ± 0.086632,0.018444 ± 0.087505,0.018665 ± 0.087458,0.001210349565550466
