distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
14-11-8-3,4,KNN,DeepONMF_H4,1,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
14-11-8-3,4,KNN,DeepONMF_H4,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
14-11-8-3,4,KNN,DeepONMF_H4,3,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
14-11-8-3,4,KNN,DeepONMF_H4,4,156,34,6,4,0.95,0.975,0.85,0.9629629629629629,0.9125
14-11-8-3,4,KNN,DeepONMF_H4,5,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
14-11-8-3,4,KNN,DeepONMF_W,1,149,38,2,11,0.935,0.93125,0.95,0.9867549668874173,0.940625
14-11-8-3,4,KNN,DeepONMF_W,2,145,33,7,15,0.89,0.90625,0.825,0.9539473684210527,0.865625
14-11-8-3,4,KNN,DeepONMF_W,3,149,35,5,11,0.92,0.93125,0.875,0.9675324675324676,0.903125
14-11-8-3,4,KNN,DeepONMF_W,4,150,32,8,10,0.91,0.9375,0.8,0.9493670886075949,0.86875
14-11-8-3,4,KNN,DeepONMF_W,5,151,35,5,9,0.93,0.94375,0.875,0.967948717948718,0.909375
14-11-8-3,4,SVM,DeepONMF_H4,1,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
14-11-8-3,4,SVM,DeepONMF_H4,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
14-11-8-3,4,SVM,DeepONMF_H4,3,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
14-11-8-3,4,SVM,DeepONMF_H4,4,155,35,5,5,0.95,0.96875,0.875,0.96875,0.921875
14-11-8-3,4,SVM,DeepONMF_H4,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
14-11-8-3,4,SVM,DeepONMF_W,1,146,39,1,14,0.925,0.9125,0.975,0.9931972789115646,0.94375
14-11-8-3,4,SVM,DeepONMF_W,2,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
14-11-8-3,4,SVM,DeepONMF_W,3,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
14-11-8-3,4,SVM,DeepONMF_W,4,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
14-11-8-3,4,SVM,DeepONMF_W,5,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
14-11-8-3,4,UjaNet,DeepONMF_H4,1,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
14-11-8-3,4,UjaNet,DeepONMF_H4,2,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
14-11-8-3,4,UjaNet,DeepONMF_H4,3,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
14-11-8-3,4,UjaNet,DeepONMF_H4,4,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
14-11-8-3,4,UjaNet,DeepONMF_H4,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
14-11-8-3,4,UjaNet,DeepONMF_W,1,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
14-11-8-3,4,UjaNet,DeepONMF_W,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
14-11-8-3,4,UjaNet,DeepONMF_W,3,157,32,8,3,0.945,0.98125,0.8,0.9515151515151515,0.890625
14-11-8-3,4,UjaNet,DeepONMF_W,4,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
14-11-8-3,4,UjaNet,DeepONMF_W,5,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
