epoca,loss_train,loss_val
1,1.348757459929115,0.7236061692237854
2,0.9247070221524489,0.5904412865638733
3,0.6713759095260972,0.4664106070995331
4,0.6069076751407824,0.38906192779541016
5,0.48009652664002617,0.31000638008117676
6,0.46925080410744013,0.3020491302013397
7,0.43106955466301816,0.2731163799762726
8,0.3670228315811408,0.2276141345500946
9,0.34442107065727834,0.23805023729801178
10,0.315509899274299,0.2664209306240082
11,0.2723925808738721,0.20252150297164917
12,0.30052370793725314,0.19752800464630127
13,0.2235477102528277,0.18286089599132538
14,0.19022199908565535,0.19374525547027588
15,0.17542268933826372,0.20539942383766174
16,0.17335664478473758,0.22996069490909576
17,0.13185332862562255,0.2790455222129822
18,0.1478729276231637,0.21740096807479858
19,0.12940959926498563,0.22542859613895416
20,0.10527069242609861,0.2713317573070526
21,0.10234147855570834,0.26183804869651794
22,0.1015432451753632,0.22801905870437622
23,0.08716284741623033,0.25763189792633057
