,N,AS,MR,MS,MVP
N,92.0,0.0,1.0,1.5,5.5
AS,0.0,93.0,3.5000000000000004,1.5,2.0
MR,4.0,8.5,77.0,5.0,5.5
MS,0.0,0.5,4.0,92.5,3.0
MVP,13.0,4.0,8.0,4.5,70.5
