distribucion,representacion,padding_aplicado,forma_original,forma_ujanet,filas_cero_anadidas,columnas_cero_anadidas
14-11-8-6-4,DeepONMF_W,False,126x4,126x4,0,0
14-11-8-6-4,DeepONMF_H5,False,4x212,4x212,0,0
