,N,AS,MR,MS,MVP
N,87.5,0.5,0.0,4.5,7.5
AS,0.0,71.5,17.5,10.0,1.0
MR,2.0,11.5,75.0,7.5,4.0
MS,6.0,12.0,2.5,71.0,8.5
MVP,19.0,6.5,16.0,17.5,41.0
