metodo,codigo_metodo,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
NNDSVDar,nndsvdar,N,1,9,126 x 42612,126 x 9,9 x 42612,0.05521177123335477,0.7295106700665078,3.274702599970624
NNDSVDar,nndsvdar,N,2,8,9 x 42612,9 x 8,8 x 42612,0.16450578851866562,0.4020386109714898,1.024769900017418
NNDSVDar,nndsvdar,N,3,7,8 x 42612,8 x 7,7 x 42612,0.26045566448651947,0.27361583362150477,0.94860050000716
NNDSVDar,nndsvdar,AS,1,9,126 x 49184,126 x 9,9 x 49184,0.135926961267673,0.3494483832899092,3.756567499949597
NNDSVDar,nndsvdar,AS,2,8,9 x 49184,9 x 8,8 x 49184,0.17367757289835908,0.22206065677629608,1.280585299944505
NNDSVDar,nndsvdar,AS,3,7,8 x 49184,8 x 7,7 x 49184,0.25867573042525077,0.17539609621311417,1.127111000008881
NNDSVDar,nndsvdar,MR,1,9,126 x 43248,126 x 9,9 x 43248,0.1220546376125991,0.3541610930924231,3.276860299985856
NNDSVDar,nndsvdar,MR,2,8,9 x 43248,9 x 8,8 x 43248,0.18075367219057786,0.21333469851952577,1.040120100020431
NNDSVDar,nndsvdar,MR,3,7,8 x 43248,8 x 7,7 x 43248,0.24747489563586017,0.1612261215315534,0.9565351000055671
NNDSVDar,nndsvdar,MS,1,9,126 x 45156,126 x 9,9 x 45156,0.0800067187780058,0.5525216607995411,3.4126430000178516
NNDSVDar,nndsvdar,MS,2,8,9 x 45156,9 x 8,8 x 45156,0.1464533657913901,0.3158404652205419,1.0981035000877455
NNDSVDar,nndsvdar,MS,3,7,8 x 45156,8 x 7,7 x 45156,0.2388365678845773,0.22923152020820797,1.0549140999792144
NNDSVDar,nndsvdar,MVP,1,9,126 x 43248,126 x 9,9 x 43248,0.1135372499279262,0.464078398562184,3.177797600044869
NNDSVDar,nndsvdar,MVP,2,8,9 x 43248,9 x 8,8 x 43248,0.17956798713612254,0.2854158574671993,1.1339163000229746
NNDSVDar,nndsvdar,MVP,3,7,8 x 43248,8 x 7,7 x 43248,0.25179362753744766,0.20110263547651203,0.9368393999757245
