clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,34,157,3,6,0.955,0.85,0.98125,0.918918918918919,0.9156249999999999,40
AS,37,146,14,3,0.915,0.925,0.9125,0.7254901960784313,0.91875,40
MR,30,157,3,10,0.935,0.75,0.98125,0.9090909090909091,0.865625,40
MS,31,154,6,9,0.925,0.775,0.9625,0.8378378378378378,0.86875,40
MVP,34,152,8,6,0.93,0.85,0.95,0.8095238095238095,0.8999999999999999,40
PROMEDIO_MACRO,166,766,34,34,0.932,0.8299999999999998,0.9574999999999999,0.8401723342899814,0.89375,200
