indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_8db,N,New_N_001.wav,28-2,DeepONMF_H2,2,0.24389337810561554,2x212,0.02301550004631281,28,0.15632625677430914,0.35974002654877796,0.018719400046393275,2,0.6024347553176596,0.08555481390583042,0.003289699903689325
1,SNR_8db,N,New_N_002.wav,28-2,DeepONMF_H2,2,0.26252310716182825,2x212,0.020536599913612008,28,0.15264476046821113,0.3373974907085579,0.017306900001130998,2,0.6600863472797788,0.07555723636391586,0.002293199999257922
2,SNR_8db,N,New_N_003.wav,28-2,DeepONMF_H2,2,0.3424789291310338,2x212,0.021862900000996888,28,0.15794535518871725,0.3444808872921003,0.018481099978089333,2,0.6026879538676967,0.06588696780298964,0.0026298000011593103
3,SNR_8db,N,New_N_004.wav,28-2,DeepONMF_H2,2,0.26344379640311916,2x212,0.021777100046165287,28,0.15725339403150324,0.35789651778471865,0.018593400018289685,2,0.6270343368329787,0.07565278544578538,0.002311999909579754
4,SNR_8db,N,New_N_005.wav,28-2,DeepONMF_H2,2,0.332973477720785,2x212,0.019809599965810776,28,0.15096751991060955,0.31146946940728903,0.016632200102321804,2,0.7145645721849933,0.07527160565905039,0.0023328999523073435
5,SNR_8db,N,New_N_006.wav,28-2,DeepONMF_H2,2,0.3059654508614153,2x212,0.01899560005404055,28,0.1520557209913431,0.2921762275731967,0.015815499937161803,2,0.7142244017930052,0.10049968608435195,0.0022882999619469047
6,SNR_8db,N,New_N_007.wav,28-2,DeepONMF_H2,2,0.2428552433878896,2x212,0.020714699989184737,28,0.1576353462753819,0.3371543031411765,0.017436299938708544,2,0.6239593930720552,0.08050945503711851,0.0023640000727027655
7,SNR_8db,N,New_N_008.wav,28-2,DeepONMF_H2,2,0.2701323620144067,2x212,0.022957000066526234,28,0.15452460505451165,0.3398292886325214,0.01969629991799593,2,0.7147702093877445,0.10257938991507448,0.002454299945384264
8,SNR_8db,N,New_N_009.wav,28-2,DeepONMF_H2,2,0.2792946340969123,2x212,0.021455500042065978,28,0.15424227576799693,0.338436411602939,0.017203700030222535,2,0.6653718801023616,0.08698616774509116,0.0034354999661445618
9,SNR_8db,N,New_N_010.wav,28-2,DeepONMF_H2,2,0.2898967467172401,2x212,0.019150799955241382,28,0.15724371127863837,0.3403226993890379,0.015845200046896935,2,0.7158782228284618,0.09840600359496704,0.00237360002938658
10,SNR_8db,N,New_N_011.wav,28-2,DeepONMF_H2,2,0.26372467762567653,2x212,0.020732999895699322,28,0.15712113427759894,0.33508912963742066,0.01647250005044043,2,0.6771111031613354,0.09019509034540332,0.0031886999495327473
11,SNR_8db,N,New_N_012.wav,28-2,DeepONMF_H2,2,0.2947501472353522,2x212,0.018983399961143732,28,0.15413584990209978,0.32087866054782616,0.015566700021736324,2,0.647535098148311,0.07526787378855271,0.0026294999988749623
12,SNR_8db,N,New_N_013.wav,28-2,DeepONMF_H2,2,0.2906933267010156,2x212,0.017446200014092028,28,0.15453278183768981,0.34148218355078663,0.014194899937137961,2,0.6724695908423657,0.07857632186206231,0.002444899990223348
13,SNR_8db,N,New_N_014.wav,28-2,DeepONMF_H2,2,0.28686094415650126,2x212,0.01975570002105087,28,0.1564617878164301,0.34157278008562947,0.016599399968981743,2,0.6298093642327757,0.07296078665570703,0.0023006999399513006
14,SNR_8db,N,New_N_015.wav,28-2,DeepONMF_H2,2,0.27147709754934146,2x212,0.02134099998511374,28,0.1529559964165082,0.32816963910847796,0.01824020000640303,2,0.6729586649837302,0.08575557214324922,0.0022631000028923154
15,SNR_8db,N,New_N_016.wav,28-2,DeepONMF_H2,2,0.25530239954009637,2x212,0.021023299894295633,28,0.1581064626155744,0.34675628112905715,0.017077800002880394,2,0.5992892723412818,0.09557062608420257,0.003105000010691583
16,SNR_8db,N,New_N_017.wav,28-2,DeepONMF_H2,2,0.44254177953302654,2x212,0.017427599988877773,28,0.15624202307972204,0.3118367397114231,0.014185499981977046,2,0.6610741777803426,0.07566463008378224,0.002390700043179095
17,SNR_8db,N,New_N_018.wav,28-2,DeepONMF_H2,2,0.26890688277485986,2x212,0.020956599968485534,28,0.15294205766770883,0.3110183534996913,0.01686959993094206,2,0.6892126966447982,0.07661008266493977,0.002939100028015673
18,SNR_8db,N,New_N_019.wav,28-2,DeepONMF_H2,2,0.24238471271474243,2x212,0.018585499958135188,28,0.157504180076677,0.3573267992716394,0.015371699933893979,2,0.5940326784225771,0.08486395281759264,0.002388299908488989
19,SNR_8db,N,New_N_020.wav,28-2,DeepONMF_H2,2,0.2423565230210019,2x212,0.02087440004106611,28,0.15550508712639888,0.3409718043601433,0.017577300081029534,2,0.6153267887683754,0.07156946543249501,0.002598999999463558
20,SNR_8db,N,New_N_021.wav,28-2,DeepONMF_H2,2,0.2932945717627321,2x212,0.02124180004466325,28,0.15498638086244398,0.30646984421768875,0.017824299982748926,2,0.6735252689930518,0.06097784215072542,0.0025924000656232238
21,SNR_8db,N,New_N_022.wav,28-2,DeepONMF_H2,2,0.30084950499308427,2x212,0.022139300010167062,28,0.15318620956646267,0.3091212053087622,0.01747530000284314,2,0.7179463250345037,0.11466961500331453,0.0037579999770969152
22,SNR_8db,N,New_N_023.wav,28-2,DeepONMF_H2,2,0.2877891525543472,2x212,0.022555099916644394,28,0.1531388256745614,0.3060418483269465,0.019177200039848685,2,0.675176771970987,0.08049301093526637,0.0025661999825388193
23,SNR_8db,N,New_N_024.wav,28-2,DeepONMF_H2,2,0.3169664250428596,2x212,0.02236920001450926,28,0.15614987904584768,0.35277399247218716,0.018721200060099363,2,0.6442569445352578,0.0750534654777168,0.002707500010728836
24,SNR_8db,N,New_N_025.wav,28-2,DeepONMF_H2,2,0.2612395421836603,2x212,0.021290099946781993,28,0.15513027300913398,0.3155804679075596,0.016960799926891923,2,0.746293972305852,0.11903030575681567,0.00357659999281168
25,SNR_8db,N,New_N_026.wav,28-2,DeepONMF_H2,2,0.27344746947050014,2x212,0.02100910001900047,28,0.15168345044563175,0.29800563934007035,0.017349200090393424,2,0.734045868638156,0.17438461288864782,0.002898799953982234
26,SNR_8db,N,New_N_027.wav,28-2,DeepONMF_H2,2,0.24923160761950325,2x212,0.019583799992688,28,0.15166522244758782,0.3147645614936425,0.016378200030885637,2,0.7286751849784789,0.14535718076010012,0.0024609999964013696
27,SNR_8db,N,New_N_028.wav,28-2,DeepONMF_H2,2,0.27373931051437383,2x212,0.02192609990015626,28,0.1541627848284248,0.30741628592014975,0.01733750000130385,2,0.660721185408501,0.05560987015121453,0.0036901000421494246
28,SNR_8db,N,New_N_029.wav,28-2,DeepONMF_H2,2,0.27703788893449366,2x212,0.023617199971340597,28,0.1596217982595509,0.3651408221384885,0.019991999957710505,2,0.6429930908194298,0.08109858708204412,0.0028793999226763844
29,SNR_8db,N,New_N_030.wav,28-2,DeepONMF_H2,2,0.26340221319766777,2x212,0.022743399953469634,28,0.15479256522528728,0.34109813953141904,0.018870200030505657,2,0.6421847648853266,0.07858890717500994,0.003104899893514812
30,SNR_8db,N,New_N_031.wav,28-2,DeepONMF_H2,2,0.34586946065813867,2x212,0.02084650006145239,28,0.15656911443554813,0.36763945510713447,0.017297100042924285,2,0.5874379129806592,0.07502006883384257,0.002722000004723668
31,SNR_8db,N,New_N_032.wav,28-2,DeepONMF_H2,2,0.2971330699357468,2x212,0.025297299958765507,28,0.15661452324391972,0.34274065173247253,0.021271999925374985,2,0.6521176439387408,0.055745349855446935,0.003065700060687959
32,SNR_8db,N,New_N_033.wav,28-2,DeepONMF_H2,2,0.2651516093611467,2x212,0.022241100086830556,28,0.15480631372365308,0.3413716548364772,0.018875199952162802,2,0.6998576646234489,0.08126012317658998,0.00252589990850538
33,SNR_8db,N,New_N_034.wav,28-2,DeepONMF_H2,2,0.27601585192596373,2x212,0.022768700029700994,28,0.15354725009414025,0.3074817940134124,0.018391399993561208,2,0.7013126281734424,0.07269169259865653,0.0034313000505790114
34,SNR_8db,N,New_N_035.wav,28-2,DeepONMF_H2,2,0.30207116155203506,2x212,0.02000190003309399,28,0.1559546627735088,0.3147411318930965,0.01672760001383722,2,0.7002698941639889,0.09037389303593286,0.0026154000079259276
35,SNR_8db,N,New_N_036.wav,28-2,DeepONMF_H2,2,0.3691876679438135,2x212,0.021868000039830804,28,0.15404973591783555,0.3154302369570346,0.018536200048401952,2,0.6875888984468829,0.10220132887218666,0.002570500015281141
36,SNR_8db,N,New_N_037.wav,28-2,DeepONMF_H2,2,0.25248365239382525,2x212,0.020369399921037257,28,0.11323155639048796,0.36360575184482147,0.01726659992709756,2,0.6686865150023396,0.03627326760494691,0.0024299999931827188
37,SNR_8db,N,New_N_038.wav,28-2,DeepONMF_H2,2,0.28371833921291517,2x212,0.020652899984270334,28,0.161033775433331,0.32478974564254326,0.016795899951830506,2,0.6142627884408828,0.03043086221620972,0.0029435999458655715
38,SNR_8db,N,New_N_039.wav,28-2,DeepONMF_H2,2,0.32830611992702263,2x212,0.02261360001284629,28,0.15529872307029846,0.2928616311073664,0.019538699998520315,2,0.7185830298643331,0.04298718676974606,0.0022839000448584557
