,N,AS,MR,MS,MVP
N,99.0,0.0,0.5,0.0,0.5
AS,0.0,97.0,2.5,0.0,0.5
MR,0.0,1.5,96.0,1.5,1.0
MS,0.0,1.0,2.0,93.5,3.5000000000000004
MVP,1.0,1.5,1.5,2.5,93.5
