comparación,distancia
N-AS,0.2480347450783763
N-MR,0.3705243574384445
N-MS,0.272855324344362
N-MVP,0.33787924674092573
AS-MR,0.6185591025168208
AS-MS,0.024820579265985687
AS-MVP,0.585913991819302
MR-MS,0.6433796817828065
MR-MVP,0.03264511069751874
MS-MVP,0.6107345710852877
