comparación,distancia
N-AS,0.2499512899652092
N-MR,0.5381896043458594
N-MS,0.5005656212375723
N-MVP,0.6846933087526718
AS-MR,0.7881408943110686
AS-MS,0.7505169112027815
AS-MVP,0.934644598717881
MR-MS,0.037623983108287073
MR-MVP,0.14650370440681237
MS-MVP,0.18412768751509945
