Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.019163 ± 0.087349,0.020090 ± 0.087139,0.021470 ± 0.086806,0.018056 ± 0.087586,0.019777 ± 0.087211,0.0021749327616878687
SBV 2,0.019575 ± 0.087257,0.029232 ± 0.084490,0.020976 ± 0.086928,0.020484 ± 0.087046,0.017779 ± 0.087643,1.2524141178998809e-26
SBV 3,0.018698 ± 0.087450,0.021241 ± 0.086863,0.028778 ± 0.084648,0.021460 ± 0.086809,0.025719 ± 0.085634,1.507283799973931e-05
SBV 4,0.022805 ± 0.086463,0.022530 ± 0.086535,0.021172 ± 0.086880,0.020099 ± 0.087137,0.019565 ± 0.087259,1.3231347818706096e-06
SBV 5,0.020944 ± 0.086936,0.031252 ± 0.083759,0.025735 ± 0.085630,0.024081 ± 0.086113,0.031359 ± 0.083718,2.1544548757743284e-09
SBV 6,0.020914 ± 0.086943,0.027282 ± 0.085145,0.020532 ± 0.087035,0.021779 ± 0.086729,0.018266 ± 0.087542,1.713003933012117e-24
SBV 7,0.018383 ± 0.087518,0.020430 ± 0.087059,0.027816 ± 0.084971,0.018675 ± 0.087455,0.019587 ± 0.087254,1.841445514110695e-05
