epoca,loss_train,loss_val
1,1.4884072102998431,0.9903500080108643
2,0.880779817700386,0.5202521681785583
3,0.601507233945947,0.4231617748737335
4,0.520344286764923,0.3821936845779419
5,0.4102005807584838,0.350859671831131
6,0.29523617607590397,0.34397396445274353
7,0.3140535917329161,0.34627780318260193
8,0.2276868013861148,0.33518099784851074
9,0.19456874147841804,0.31941092014312744
10,0.1714695028066145,0.31807976961135864
11,0.14109206412869849,0.46777668595314026
12,0.1200501388183942,0.37016427516937256
13,0.09455970171716456,0.34934234619140625
14,0.11526264609327834,0.396627813577652
15,0.10539708472788334,0.43345725536346436
16,0.07730589260494239,0.4011538326740265
17,0.06659253508597,0.36434000730514526
18,0.06691666263903148,0.3486759066581726
19,0.09423639454057832,0.38464677333831787
20,0.05004288208989525,0.4235366880893707
