clase,error_relativo_final,iteraciones,semilla
N,0.11358080511780791,120,7
AS,0.1959641163671239,120,7
MR,0.20621757909617258,120,7
MS,0.14035532365802383,120,7
MVP,0.14957998709958625,120,7
