clase,error_relativo_final,iteraciones,semilla
N,0.10286817142168547,120,42
AS,0.19083293684472194,120,42
MR,0.20162847723847604,120,42
MS,0.1416207616078598,120,42
MVP,0.14736168219400567,120,42
