clase,error_relativo_final,iteraciones,semilla
N,0.11499912798506955,300,42
AS,0.20090829151360348,300,42
MR,0.19585261135401086,300,42
MS,0.15346932920966216,300,42
MVP,0.15657428474051382,300,42
