,N,AS,MR,MS,MVP
N,97.0,0.0,1.0,0.0,2.0
AS,0.0,96.5,2.5,0.0,1.0
MR,1.5,5.0,90.5,2.0,1.0
MS,0.0,1.5,0.5,94.0,4.0
MVP,4.0,4.0,3.5000000000000004,1.5,87.0
