,N,AS,MR,MS,MVP
N,96.5,0.0,0.0,3.0,0.5
AS,0.0,80.5,7.5,5.5,6.5
MR,1.0,7.000000000000001,82.5,7.000000000000001,2.5
MS,3.0,7.5,0.5,84.5,4.5
MVP,4.5,8.0,4.5,2.0,81.0
