,N,AS,MR,MS,MVP
N,99.0,0.0,0.5,0.0,0.5
AS,0.0,96.5,2.5,0.5,0.5
MR,0.0,2.0,95.5,1.5,1.0
MS,0.5,1.0,1.5,94.0,3.0
MVP,1.5,2.5,2.0,2.5,91.5
