clase,error_relativo_final,iteraciones,semilla
N,0.11273620079554882,120,99
AS,0.19051023165094821,120,99
MR,0.20470046720983578,120,99
MS,0.13551319620219474,120,99
MVP,0.14617768693591626,120,99
