,N,AS,MR,MS,MVP
N,99.0,0.0,0.5,0.0,0.5
AS,0.0,97.5,2.0,0.0,0.5
MR,0.0,0.5,96.5,1.5,1.5
MS,0.0,3.0,0.5,94.0,2.5
MVP,1.0,2.0,1.0,1.5,94.5
