indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_5db,N,New_N_001.wav,16-10-6,DeepONMF_H3,3,0.3405213071842094,6x212,0.017208199948072433,16,0.20916994087237695,0.2910919872459081,0.008924200083129108,10,0.2989840703792716,0.13240745374259294,0.0036832999903708696,6,0.4494420646777369,0.10427838407645593,0.0035722999600693583
1,SNR_5db,N,New_N_002.wav,16-10-6,DeepONMF_H3,3,0.32767865252233636,6x212,0.016313900006935,16,0.21065931198466623,0.3325619828365593,0.00895640009548515,10,0.3399701100225673,0.14548742462405378,0.003407799988053739,6,0.5071588625313874,0.1370435914005882,0.00313209998421371
2,SNR_5db,N,New_N_003.wav,16-10-6,DeepONMF_H3,3,0.32784126470178054,6x212,0.015740100061520934,16,0.20888730767510508,0.29072249024686364,0.007720499997958541,10,0.2994316831376997,0.1433129348191959,0.0042631999822333455,6,0.45909876884336004,0.14284115439772913,0.002923700027167797
3,SNR_5db,N,New_N_004.wav,16-10-6,DeepONMF_H3,3,0.3406997558405212,6x212,0.015547599992714822,16,0.2150401113913206,0.3119919516460486,0.007544600055553019,10,0.31582322362373577,0.13101909447017498,0.004433699999935925,6,0.4414159922272906,0.12210675037251187,0.002430699998512864
4,SNR_5db,N,New_N_005.wav,16-10-6,DeepONMF_H3,3,0.3507664640875091,6x212,0.015084000071510673,16,0.20947775254568665,0.26688834706007236,0.007641200092621148,10,0.3293838888794012,0.12277131006991422,0.0039920000126585364,6,0.46338591529573764,0.12427673785479719,0.0023938000667840242
5,SNR_5db,N,New_N_006.wav,16-10-6,DeepONMF_H3,3,0.31892315325707693,6x212,0.015671400004066527,16,0.21506152352681024,0.29900939654003694,0.008292599930427969,10,0.3244057938188087,0.14101586682838135,0.004184800083748996,6,0.4408665783507786,0.13008193393653922,0.0023705000057816505
6,SNR_5db,N,New_N_007.wav,16-10-6,DeepONMF_H3,3,0.3232904509513766,6x212,0.014480100013315678,16,0.20928782186862596,0.28246403326846004,0.0079529999056831,10,0.31614612595600305,0.14152284261892042,0.0031501000048592687,6,0.4410336053612038,0.1265584724939276,0.002381300088018179
7,SNR_5db,N,New_N_008.wav,16-10-6,DeepONMF_H3,3,0.33935601926551334,6x212,0.013945499900728464,16,0.21092793671040416,0.28993016250243214,0.007592399953864515,10,0.3269071431219166,0.14580254343710017,0.0032097999937832355,6,0.4100494854004244,0.15569312778714342,0.0024597999872639775
8,SNR_5db,N,New_N_009.wav,16-10-6,DeepONMF_H3,3,0.3363134875746595,6x212,0.014755500014871359,16,0.20754519618006584,0.28046153417803127,0.00753089995123446,10,0.28212709418633325,0.16462719084063246,0.0038213999941945076,6,0.39531796099911454,0.1289563314555855,0.0025194999761879444
9,SNR_5db,N,New_N_010.wav,16-10-6,DeepONMF_H3,3,0.3440041868712385,6x212,0.0157416999572888,16,0.2089942282760598,0.2567446112803776,0.007678099907934666,10,0.3361521622482103,0.14241071447455217,0.004750299965962768,6,0.365833357443538,0.15190418304697081,0.002474200096912682
10,SNR_5db,N,New_N_011.wav,16-10-6,DeepONMF_H3,3,0.35406614836477307,6x212,0.014487800071947277,16,0.21038958861908796,0.258268183337809,0.007459400105290115,10,0.28591707662804905,0.1305077244850891,0.003630799939855933,6,0.4195757083523724,0.11939562605000496,0.002653099945746362
11,SNR_5db,N,New_N_012.wav,16-10-6,DeepONMF_H3,3,0.36343470862679567,6x212,0.014991499949246645,16,0.21204521652391417,0.26814079464204676,0.007176900049671531,10,0.3097284394720382,0.11195261481742971,0.003984100068919361,6,0.42833343560264675,0.1047626230409769,0.0029190999921411276
12,SNR_5db,N,New_N_013.wav,16-10-6,DeepONMF_H3,3,0.37303589169290835,6x212,0.015465500066056848,16,0.20652556063689698,0.27685514909767456,0.007297400035895407,10,0.27995161744596164,0.140605719042472,0.004497200017794967,6,0.46361083980071816,0.12249523642269858,0.0026999000692740083
13,SNR_5db,N,New_N_014.wav,16-10-6,DeepONMF_H3,3,0.35780400077915114,6x212,0.013838800019584596,16,0.21549136895705026,0.30918856893863983,0.007491500000469387,10,0.30768841698301036,0.13347652372572485,0.003139900043606758,6,0.49468407158970973,0.13402735608203148,0.002412899979390204
14,SNR_5db,N,New_N_015.wav,16-10-6,DeepONMF_H3,3,0.37025609783695845,6x212,0.014713200042024255,16,0.21219610464398325,0.29060304505973183,0.008155600051395595,10,0.3061389185734038,0.15109414418608194,0.0032314000418409705,6,0.42101190999241483,0.11599081016333616,0.0024669000413268805
15,SNR_5db,N,New_N_016.wav,16-10-6,DeepONMF_H3,3,0.2904893449944187,6x212,0.015145799960009754,16,0.20995915178651298,0.28585338536888755,0.008356599952094257,10,0.2988046459938403,0.1486010580784472,0.0035534000489860773,6,0.4589744553673878,0.15187695397877346,0.002456400077790022
16,SNR_5db,N,New_N_017.wav,16-10-6,DeepONMF_H3,3,0.323822510726264,6x212,0.014234800008125603,16,0.21206902175432354,0.27502055750735455,0.007870799978263676,10,0.34503923233782285,0.14681363259916436,0.0031652000034227967,6,0.4282783401230768,0.1441033021017878,0.00245789997279644
17,SNR_5db,N,New_N_018.wav,16-10-6,DeepONMF_H3,3,0.34373987538696615,6x212,0.01435529999434948,16,0.21343709334295105,0.29174282648851435,0.008011700003407896,10,0.3376265451434952,0.12855523743563077,0.003204299951903522,6,0.4437820020801248,0.12102867416108694,0.0024437999818474054
18,SNR_5db,N,New_N_019.wav,16-10-6,DeepONMF_H3,3,0.34001098029124444,6x212,0.015448199934326112,16,0.21621458377465358,0.2994907722225682,0.007604200043715537,10,0.33071023730931254,0.14152600379435573,0.0044932999880984426,6,0.4504239266992299,0.13018981485278183,0.0026623999001458287
19,SNR_5db,N,New_N_020.wav,16-10-6,DeepONMF_H3,3,0.32437520230398853,6x212,0.015248699928633869,16,0.20887875622820534,0.2804761541647412,0.007701900089159608,10,0.32783094080871034,0.16711581465350656,0.003646999946795404,6,0.474801579497136,0.17134440856279365,0.002655399963259697
20,SNR_5db,N,New_N_021.wav,16-10-6,DeepONMF_H3,3,0.3333838118882249,6x212,0.015742799965664744,16,0.20931524509503724,0.29919046275414707,0.007976599968969822,10,0.2848054331311306,0.11561813481847452,0.004043899942189455,6,0.4693549660172566,0.09735508850712055,0.0029852999141439795
21,SNR_5db,N,New_N_022.wav,16-10-6,DeepONMF_H3,3,0.38680255980314376,6x212,0.014534200076013803,16,0.21236254578074495,0.28086462338849444,0.007542999926954508,10,0.30787999287218315,0.12311727008909484,0.0035456999903544784,6,0.4531210661328951,0.10715798378660848,0.0026624000165611506
22,SNR_5db,N,New_N_023.wav,16-10-6,DeepONMF_H3,3,0.3257862222277126,6x212,0.014312700019218028,16,0.20979962939951594,0.28084490553007474,0.007882800069637597,10,0.4119917923612011,0.13351035129941338,0.003274100017733872,6,0.3998085428294203,0.12730944632841296,0.0023843999952077866
23,SNR_5db,N,New_N_024.wav,16-10-6,DeepONMF_H3,3,0.32881749104680563,6x212,0.01482479996047914,16,0.20974374820154762,0.2816558875716825,0.007863099919632077,10,0.2663915577777932,0.14709217752412765,0.0034932000562548637,6,0.3209819570001106,0.1464141323770802,0.002463799901306629
24,SNR_5db,N,New_N_025.wav,16-10-6,DeepONMF_H3,3,0.3445856664640224,6x212,0.014629099983721972,16,0.2147745420490929,0.2739051829927901,0.008333200006745756,10,0.3326003263708063,0.14380865108449536,0.003139900043606758,6,0.4803602365206414,0.14894304524995286,0.0024351999163627625
25,SNR_5db,N,New_N_026.wav,16-10-6,DeepONMF_H3,3,0.3500734703146632,6x212,0.01455079996958375,16,0.21341863576327907,0.3098095725102215,0.0076790000312030315,10,0.3325447670547514,0.1485793981360272,0.003666599979624152,6,0.43802617330338944,0.11847695077851023,0.0024277999764308333
26,SNR_5db,N,New_N_027.wav,16-10-6,DeepONMF_H3,3,0.33427458898202056,6x212,0.018091500038281083,16,0.2080112547178794,0.29265477018040553,0.011124799959361553,10,0.28921710781716947,0.1585181403933342,0.0036173000698909163,6,0.4512801363581223,0.14154964836092784,0.002565199974924326
27,SNR_5db,N,New_N_028.wav,16-10-6,DeepONMF_H3,3,0.3610993772058282,6x212,0.014694900019094348,16,0.21107507185897495,0.2758088382500844,0.00819889991544187,10,0.32712561891503233,0.13245384533190901,0.0033001000992953777,6,0.43403168767980266,0.11961735526986969,0.002509700017981231
28,SNR_5db,N,New_N_029.wav,16-10-6,DeepONMF_H3,3,0.35782178641859946,6x212,0.01428859995212406,16,0.21101326377662588,0.26664241012174994,0.00733079994097352,10,0.37241090134725785,0.14098057012224116,0.0035433999728411436,6,0.4534319372169595,0.12251221275177321,0.002549499971792102
29,SNR_5db,N,New_N_030.wav,16-10-6,DeepONMF_H3,3,0.32592184463376356,6x212,0.014720199978910387,16,0.21129754111001128,0.269527976232659,0.007522300002165139,10,0.29314715535000296,0.11487333788165845,0.0037945000221952796,6,0.3908143690363252,0.0975956897527066,0.0025991000002250075
30,SNR_5db,N,New_N_031.wav,16-10-6,DeepONMF_H3,3,0.33374196520700655,6x212,0.015095499926246703,16,0.20780283493826604,0.3124322720742966,0.007320799981243908,10,0.3239645110049618,0.1531451364866879,0.004187099984847009,6,0.40761908638049743,0.16914983121801533,0.002775799948722124
31,SNR_5db,N,New_N_032.wav,16-10-6,DeepONMF_H3,3,0.3488761406470175,6x212,0.014912600046955049,16,0.2136717871741549,0.28959743805675753,0.007354400004260242,10,0.30769571884435143,0.123213921227615,0.004163999925367534,6,0.4267031457504335,0.1109199391076747,0.002597099984996021
32,SNR_5db,N,New_N_033.wav,16-10-6,DeepONMF_H3,3,0.3466865652836813,6x212,0.015092099900357425,16,0.211148501782654,0.2909899197677624,0.0076994000701233745,10,0.32035300425839885,0.10882947421897268,0.003960900008678436,6,0.46265691333330666,0.0914482964584016,0.0023765999358147383
33,SNR_5db,N,New_N_034.wav,16-10-6,DeepONMF_H3,3,0.34703159501712544,6x212,0.015418900060467422,16,0.21349123890295474,0.3194519948469838,0.007973699946887791,10,0.3455212850004789,0.13691174388724,0.004002999980002642,6,0.48690137786416,0.10792186715452501,0.002363600069656968
34,SNR_5db,N,New_N_035.wav,16-10-6,DeepONMF_H3,3,0.3378797325648152,6x212,0.014507199986837804,16,0.21096750380049806,0.29553722225164997,0.00791619997471571,10,0.29313928058027894,0.14996196920504387,0.0035029000137001276,6,0.42808768568945804,0.12047070165360514,0.0023569000186398625
35,SNR_5db,N,New_N_036.wav,16-10-6,DeepONMF_H3,3,0.3191628274218713,6x212,0.014305600081570446,16,0.2062118608223439,0.23505942968942664,0.007671099971048534,10,0.28460608335239485,0.14643875773898904,0.0035440000938251615,6,0.46198106548655166,0.13719012106201728,0.0023817000910639763
36,SNR_5db,N,New_N_037.wav,16-10-6,DeepONMF_H3,3,0.29408949748997953,6x212,0.014708700007759035,16,0.15414020926572689,0.2610016811832255,0.007730200071819127,10,0.18496748889217154,0.1286444956909762,0.003228300018236041,6,0.4652845696645069,0.08640099878195497,0.00248030002694577
37,SNR_5db,N,New_N_038.wav,16-10-6,DeepONMF_H3,3,0.36136897434589904,6x212,0.014619600027799606,16,0.21388442706795832,0.29598448565443886,0.0074714000802487135,10,0.31273399081167524,0.09959684093511907,0.0037635000189766288,6,0.5225425491728554,0.10523134407573947,0.0024970000376924872
38,SNR_5db,N,New_N_039.wav,16-10-6,DeepONMF_H3,3,0.3321351696535388,6x212,0.015178099973127246,16,0.21637662279531047,0.3201024999955199,0.007527500041760504,10,0.21379494165642118,0.12522460824089854,0.0042706000385805964,6,0.24640608322073654,0.10944947574073399,0.0025369999930262566
39,SNR_5db,N,New_N_040.wav,16-10-6,DeepONMF_H3,3,0.3436802041325352,6x212,0.013984400080516934,16,0.21480281197718912,0.28101768879244243,0.007327000028453767,10,0.23781458342204398,0.09938537563887838,0.0031305999727919698,6,0.4336946059878849,0.08979001113683244,0.002779299975372851
40,SNR_5db,N,New_N_041.wav,16-10-6,DeepONMF_H3,3,0.36931501634338876,6x212,0.015593499992974102,16,0.20885532972831533,0.3266767687255168,0.00749400001950562,10,0.27046296759459104,0.10941878389671374,0.004395899944938719,6,0.45953209141967194,0.10089154307766007,0.0028964999364688993
41,SNR_5db,N,New_N_042.wav,16-10-6,DeepONMF_H3,3,0.3164121119614618,6x212,0.015688200015574694,16,0.21429996532499807,0.28979388999584177,0.008569600060582161,10,0.3467149072649433,0.11186576700200508,0.0033597000874578953,6,0.4465304280495967,0.09738291174746205,0.002774300053715706
42,SNR_5db,N,New_N_043.wav,16-10-6,DeepONMF_H3,3,0.31951226593324805,6x212,0.015500799985602498,16,0.2086764173781797,0.29059318133335055,0.008162499987520278,10,0.3216331507983365,0.14495263336282097,0.0037570000858977437,6,0.5031603566809336,0.11565568824509646,0.0028153000166639686
43,SNR_5db,N,New_N_044.wav,16-10-6,DeepONMF_H3,3,0.34456474938493076,6x212,0.015883899992331862,16,0.2079907316356096,0.30103302687600214,0.008676899946294725,10,0.3209792986666261,0.11610539392668864,0.0036324000684544444,6,0.5270723856630748,0.10953424853865946,0.0028322000289335847
44,SNR_5db,N,New_N_045.wav,16-10-6,DeepONMF_H3,3,0.38552216900690006,6x212,0.016637600027024746,16,0.20881570000417832,0.2789375159787132,0.009293899987824261,10,0.24603048766591637,0.12861476821866247,0.0036693000001832843,6,0.4508638371924999,0.11558888111193742,0.002947599976323545
45,SNR_5db,N,New_N_046.wav,16-10-6,DeepONMF_H3,3,0.2846623193899253,6x212,0.017166699981316924,16,0.208414351483813,0.3029167408676161,0.00953109993133694,10,0.354864801540182,0.12870164683478702,0.0038475999608635902,6,0.41397654964125735,0.1306812767505458,0.0029956999933347106
46,SNR_5db,N,New_N_047.wav,16-10-6,DeepONMF_H3,3,0.3185757024147565,6x212,0.016553299967199564,16,0.20916319180548074,0.34076261406949404,0.009365499950945377,10,0.28323458204881485,0.1282715392169567,0.0035924999974668026,6,0.4703798580436881,0.11686120708019919,0.0027630000840872526
47,SNR_5db,N,New_N_048.wav,16-10-6,DeepONMF_H3,3,0.3347845538396211,6x212,0.01676310005132109,16,0.20819473161846125,0.3067657802656209,0.009220200008712709,10,0.29283908798059716,0.11022022914791804,0.003874399932101369,6,0.377608410578911,0.10533699575691459,0.00282839999999851
