metodo,sil_tSNE_951,sil_tSNE_1000,delta_sil_tSNE,mejora_pct_sil_tSNE,DB_tSNE_951,DB_tSNE_1000,delta_DB_tSNE,reduccion_pct_DB_tSNE
CNN,0.1105647012591362,0.2258976399898529,0.1153329387307167,104.31262185605235,3.618561421066015,2.014266937228267,-1.604294483837748,44.33514585376662
DWT,0.1267702430486679,0.1109088510274887,-0.015861392021179213,-12.51192049469364,16.352727902954232,6.564077217299766,-9.788650685654467,59.85943595310529
MFCC,0.1728029549121856,0.1445773094892501,-0.028225645422935514,-16.334006231131358,6.000057463403192,5.527732597908822,-0.4723248654943699,7.872005699533258
STFT,0.1477805525064468,0.1318992376327514,-0.0158813148736954,-10.74655264467399,3.570267782013287,7.878604523354494,4.308336741341208,-120.67264990727726
