indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,N,New_N_001.wav,9-7-6-3,4,0.39771354577620543,126x3,3x212,9,0.07350950873507105,0.34468203243279266,0.022378800000296906,7,0.20817827643862208,0.1613501169368998,0.010573399980785325,6,0.288678974142818,0.1157655151794063,0.011455399973783642,3,0.6037340878832427,0.12903708098254574,0.007651499996427447
1,N,New_N_002.wav,9-7-6-3,4,0.33794677962905284,126x3,3x212,9,0.07205196521517813,0.35754106194876073,0.01972440001554787,7,0.15827716455383314,0.14922360599950754,0.009564499981934205,6,0.25228297503864855,0.15533160465252346,0.008847999997669831,3,0.5446689319913084,0.11621277412620674,0.008057099999859929
2,N,New_N_003.wav,9-7-6-3,4,0.3967162208072621,126x3,3x212,9,0.07255800024375166,0.36014950414354835,0.023352599993813783,7,0.1742561182023692,0.17937269882847756,0.009073499997612089,6,0.32319330684663083,0.12920569548910296,0.00856369998655282,3,0.5852815712007294,0.16161947744878322,0.007507800008170307
3,N,New_N_004.wav,9-7-6-3,4,0.471346779349719,126x3,3x212,9,0.06740704087065719,0.40067885914445406,0.019378400000277907,7,0.18738356776984286,0.21941190376861405,0.0057997000112663954,6,0.29140990053677934,0.152549823081101,0.0076843000133521855,3,0.5555791636172892,0.1334976064453891,0.006608799973037094
4,N,New_N_005.wav,9-7-6-3,4,0.40459205425308525,126x3,3x212,9,0.06286382685423861,0.3213949463652088,0.019793199986452237,7,0.17942603722542666,0.21253974649919408,0.0058416999818291515,6,0.20252090696576852,0.1707238377942221,0.0058926999918185174,3,0.4564719178318582,0.14924261731417973,0.004454499983694404
5,N,New_N_006.wav,9-7-6-3,4,0.3101481780098633,126x3,3x212,9,0.06732863931743682,0.3498032716452037,0.018923800002085045,7,0.16939739375974316,0.16663950348404488,0.005753700010245666,6,0.1832099520970476,0.14125596725370135,0.006193799985339865,3,0.5127127250181575,0.14623600488377317,0.004429799999343231
6,N,New_N_007.wav,9-7-6-3,4,0.35230339268713334,126x3,3x212,9,0.08735660652495958,0.39340066709930566,0.017559200001414865,7,0.22063328094875073,0.2155174996567166,0.00668210000731051,6,0.2415924994430695,0.15880506061635555,0.004641699983039871,3,0.5098112995239288,0.12434626918034257,0.006439799995860085
7,N,New_N_008.wav,9-7-6-3,4,0.3686907516646819,126x3,3x212,9,0.06306051757667851,0.3200896228060006,0.012438199977623299,7,0.2401579319811408,0.18305747534574546,0.0052183000079821795,6,0.25993665028398977,0.195054805262445,0.00628349999897182,3,0.5365133102070876,0.14975838234982294,0.003979200002504513
8,N,New_N_009.wav,9-7-6-3,4,0.3432514794167581,126x3,3x212,9,0.06096309905321858,0.38060048516785855,0.013228100026026368,7,0.17320101952203315,0.25111544199601504,0.005073300009826198,6,0.1851976259989679,0.19518327238874186,0.004885700007434934,3,0.5454676428740637,0.20800597488875852,0.004049900016980246
9,N,New_N_010.wav,9-7-6-3,4,0.37679529977369935,126x3,3x212,9,0.06843742731410647,0.3292550178761163,0.01261439998052083,7,0.17773191562287358,0.2216089086628868,0.0050762000028043985,6,0.15403813405329878,0.18627396126969725,0.005863099999260157,3,0.5190966196996424,0.16052470795269191,0.003974899998866022
10,N,New_N_011.wav,9-7-6-3,4,0.3032404950385937,126x3,3x212,9,0.06912135874942711,0.3371630472875736,0.019651300011901185,7,0.22110935752395014,0.18474474190686666,0.005360199982533231,6,0.14089222014689215,0.17180493437034214,0.0045230000105220824,3,0.5174986179449932,0.18997869561853034,0.004074500000569969
11,N,New_N_012.wav,9-7-6-3,4,0.37919322010451656,126x3,3x212,9,0.0761422340413428,0.3320503461914481,0.014703199994983152,7,0.2142889835118374,0.1763111352473916,0.007115700020221993,6,0.24451741334027274,0.14645634759058002,0.007997300010174513,3,0.5710611992630086,0.21231862738908394,0.0070315999910235405
12,N,New_N_013.wav,9-7-6-3,4,0.38664758805866506,126x3,3x212,9,0.06591050716069136,0.3071693021600995,0.012644800008274615,7,0.24300693238418972,0.1747539803777549,0.009373099979711697,6,0.3653299082122758,0.13146430901912617,0.0079486999893561,3,0.5272203952509503,0.10992674596501882,0.006682399980491027
13,N,New_N_014.wav,9-7-6-3,4,0.3286169256674932,126x3,3x212,9,0.08328501888824863,0.3327170051415954,0.01692709999042563,7,0.18005501407276125,0.23813462741985333,0.008440899982815608,6,0.23206350549507457,0.2046824652262877,0.007749100012006238,3,0.5093605029800685,0.18400798586349512,0.006789600010961294
14,N,New_N_015.wav,9-7-6-3,4,0.3148220701827856,126x3,3x212,9,0.06561857177101585,0.3994184231278994,0.0178654000046663,7,0.23550341822262513,0.24772645264446713,0.008177099982276559,6,0.22476840398589376,0.24372226801931027,0.006657999998424202,3,0.46295457515973637,0.213525165767214,0.008331500022904947
15,N,New_N_016.wav,9-7-6-3,4,0.3965619240750312,126x3,3x212,9,0.06701598014383577,0.32186294430653856,0.017161800002213567,7,0.17853589429264874,0.19273630206082298,0.010042099980637431,6,0.22389048564436487,0.17000238728786302,0.008182399993529543,3,0.5531651434039718,0.17418547790101757,0.0063233000109903514
16,N,New_N_017.wav,9-7-6-3,4,0.4138105000959798,126x3,3x212,9,0.06693439192116947,0.34400341592080225,0.018819799995981157,7,0.193658807585391,0.20835426312367267,0.008185599988792092,6,0.2109987280112834,0.13540601120482026,0.007821999985026196,3,0.4609595703193298,0.14831268792901361,0.006354000011924654
17,N,New_N_018.wav,9-7-6-3,4,0.32993321259161323,126x3,3x212,9,0.0626407292079905,0.3497171734536397,0.017159100010758266,7,0.1998460706985587,0.25346589117135093,0.008061700005782768,6,0.17306503837443382,0.18105031268448368,0.0074606000271160156,3,0.500580079989838,0.21792521329809036,0.006014400016283616
18,N,New_N_019.wav,9-7-6-3,4,0.3195961529606615,126x3,3x212,9,0.06581902364540294,0.3818050309761432,0.014374999998835847,7,0.2201199405943919,0.24574723115401204,0.008349999989150092,6,0.2271715407207257,0.22763585216755314,0.0076502999872900546,3,0.5395146872767231,0.24136999940144474,0.006668799993349239
19,N,New_N_020.wav,9-7-6-3,4,0.40104303608281394,126x3,3x212,9,0.0747985766708678,0.3354229825274214,0.02086079999571666,7,0.17015213460182138,0.21437489693839873,0.009042100020451471,6,0.31144630429381837,0.1535454773827789,0.009205000009387732,3,0.5783399387861512,0.14779359349518828,0.00782739999704063
20,N,New_N_021.wav,9-7-6-3,4,0.33604770222786917,126x3,3x212,9,0.08701115640682892,0.2988283201143288,0.021952700015390292,7,0.275893062400339,0.17259599619630764,0.011824100016383454,6,0.19546872848316854,0.16282718307557772,0.008561900001950562,3,0.5060038120214108,0.157255126099102,0.007952399988425896
21,N,New_N_022.wav,9-7-6-3,4,0.3888502306218812,126x3,3x212,9,0.07206938799287364,0.3682331414539586,0.0211070999794174,7,0.2168105091018,0.18095616176241724,0.010786500002723187,6,0.1872535362879406,0.1509668992375406,0.00993269999162294,3,0.5591488825460941,0.15974099083565754,0.007610799977555871
22,N,New_N_023.wav,9-7-6-3,4,0.43687975605857166,126x3,3x212,9,0.0640238961542233,0.3005807951724118,0.018471999996108934,7,0.15997867269674867,0.14377958060426382,0.008675999997649342,6,0.29481662826976274,0.1430528056573295,0.008965000015450642,3,0.5500397602419618,0.15005877993982208,0.008105399989290163
23,N,New_N_024.wav,9-7-6-3,4,0.33318333082449597,126x3,3x212,9,0.07662708312344403,0.3969184116407976,0.01788140001008287,7,0.15489948746618115,0.2898741111418383,0.00576639999053441,6,0.23439199954163686,0.2315040104221194,0.005054800014477223,3,0.5309879742698875,0.17688936655913015,0.003980600013164803
24,N,New_N_025.wav,9-7-6-3,4,0.3302046173715018,126x3,3x212,9,0.08003508918392827,0.33823339910875877,0.0126530000125058,7,0.25584189273016367,0.19188089855413337,0.0065950999851338565,6,0.26588244303650777,0.17821801936966658,0.004789400001754984,3,0.5840975342477739,0.23851598488109582,0.005722700007027015
