distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
7-5-4-3,4,KNN,DeepONMF_H4,1,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
7-5-4-3,4,KNN,DeepONMF_H4,2,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
7-5-4-3,4,KNN,DeepONMF_H4,3,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
7-5-4-3,4,KNN,DeepONMF_H4,4,158,34,6,2,0.96,0.9875,0.85,0.9634146341463414,0.91875
7-5-4-3,4,KNN,DeepONMF_H4,5,159,32,8,1,0.955,0.99375,0.8,0.9520958083832335,0.8968750000000001
7-5-4-3,4,KNN,DeepONMF_W,1,149,38,2,11,0.935,0.93125,0.95,0.9867549668874173,0.940625
7-5-4-3,4,KNN,DeepONMF_W,2,145,35,5,15,0.9,0.90625,0.875,0.9666666666666667,0.890625
7-5-4-3,4,KNN,DeepONMF_W,3,147,31,9,13,0.89,0.91875,0.775,0.9423076923076923,0.846875
7-5-4-3,4,KNN,DeepONMF_W,4,146,31,9,14,0.885,0.9125,0.775,0.9419354838709677,0.84375
7-5-4-3,4,KNN,DeepONMF_W,5,150,36,4,10,0.93,0.9375,0.9,0.974025974025974,0.91875
7-5-4-3,4,SVM,DeepONMF_H4,1,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
7-5-4-3,4,SVM,DeepONMF_H4,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
7-5-4-3,4,SVM,DeepONMF_H4,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
7-5-4-3,4,SVM,DeepONMF_H4,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
7-5-4-3,4,SVM,DeepONMF_H4,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
7-5-4-3,4,SVM,DeepONMF_W,1,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
7-5-4-3,4,SVM,DeepONMF_W,2,142,38,2,18,0.9,0.8875,0.95,0.9861111111111112,0.91875
7-5-4-3,4,SVM,DeepONMF_W,3,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
7-5-4-3,4,SVM,DeepONMF_W,4,141,38,2,19,0.895,0.88125,0.95,0.986013986013986,0.9156249999999999
7-5-4-3,4,SVM,DeepONMF_W,5,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
7-5-4-3,4,UjaNet,DeepONMF_H4,1,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
7-5-4-3,4,UjaNet,DeepONMF_H4,2,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
7-5-4-3,4,UjaNet,DeepONMF_H4,3,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
7-5-4-3,4,UjaNet,DeepONMF_H4,4,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
7-5-4-3,4,UjaNet,DeepONMF_H4,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
7-5-4-3,4,UjaNet,DeepONMF_W,1,154,39,1,6,0.965,0.9625,0.975,0.9935483870967742,0.96875
7-5-4-3,4,UjaNet,DeepONMF_W,2,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
7-5-4-3,4,UjaNet,DeepONMF_W,3,151,33,7,9,0.92,0.94375,0.825,0.9556962025316456,0.8843749999999999
7-5-4-3,4,UjaNet,DeepONMF_W,4,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
7-5-4-3,4,UjaNet,DeepONMF_W,5,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
