,N,AS,MR,MS,MVP
N,93.0,1.5,0.0,3.5000000000000004,2.0
AS,1.0,83.0,6.0,9.0,1.0
MR,0.5,7.5,80.0,11.5,0.5
MS,4.0,11.0,4.5,78.0,2.5
MVP,4.0,7.000000000000001,9.0,6.5,73.5
