epoca,loss_train,loss_val
1,1.5060537959399976,1.242089033126831
2,1.2374788224697113,1.089323878288269
3,1.0266624045999426,0.9745861291885376
4,0.9598085001895302,0.9374760985374451
5,0.9156490893740403,0.9488922953605652
6,0.8113180665593398,0.8489737510681152
7,0.7440665034871352,0.8501839637756348
8,0.6960610214032625,0.7768102288246155
9,0.6110992721821132,0.7588486671447754
10,0.5768179517043265,0.7735599279403687
11,0.4956513470725009,0.7359466552734375
12,0.4894484897193156,0.7037284970283508
13,0.45556958529509994,0.678679883480072
14,0.36639822411694023,0.7302011251449585
15,0.36626451364473295,0.7183120250701904
16,0.269558831657234,0.7017696499824524
17,0.29660896907903644,0.8060910701751709
18,0.2948397225455234,0.831157386302948
19,0.23073243281166805,0.7965911626815796
20,0.2112325606867671,0.792004406452179
21,0.16279231766728977,0.8817198276519775
22,0.13963872841314265,0.9162376523017883
23,0.13679328470147753,0.9508399963378906
