distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,SVM,STFT,0.9884,0.0076681158050723,0.971,0.0191702895126808,0.99275,0.0047925723781702,0.9718738658438036,0.0186867988160518,0.981875,0.0119814309454254
No aplica,SVM,MFCC,0.996,0.0024494897427832,0.99,0.0061237243569578,0.9975,0.0015309310892394,0.9903764603707884,0.0057992145834369,0.99375,0.0038273277230987
No aplica,SVM,MelSpectrogram,0.9892,0.0057619441163552,0.973,0.014404860290888,0.99325,0.003601215072722,0.9738206826873872,0.0144562340005813,0.983125,0.0090030376818049
No aplica,SVM,LogMelSpectrogram,0.99,0.0028284271247462,0.975,0.0070710678118655,0.99375,0.0017677669529663,0.9754662641594608,0.0069633493233487,0.984375,0.0044194173824159
9-8-7,SVM,DeepONMF_W,0.882,0.0108627804912002,0.705,0.0271569512280005,0.92625,0.0067892378070001,0.7086501547289049,0.0318913727803672,0.815625,0.0169730945175002
9-8-7,SVM,DeepONMF_H3,0.954,0.0098994949366117,0.885,0.0247487373415291,0.97125,0.0061871843353822,0.8892995236970721,0.0240309622606102,0.928125,0.0154679608384557
No aplica,KNN,STFT,0.982,0.0076157731058639,0.9549999999999998,0.0190394327646598,0.98875,0.0047598581911649,0.9557240612329724,0.0189425563584214,0.971875,0.0118996454779123
No aplica,KNN,MFCC,0.99,0.0031622776601684,0.975,0.0079056941504209,0.99375,0.0019764235376051,0.9761790864961596,0.0068635889374374,0.984375,0.004941058844013
No aplica,KNN,MelSpectrogram,0.9828,0.0070142711667001,0.957,0.0175356779167502,0.98925,0.0043839194791875,0.958110957943749,0.0169905106681633,0.973125,0.0109597986979688
No aplica,KNN,LogMelSpectrogram,0.9872,0.0030331501776206,0.968,0.0075828754440514,0.992,0.0018957188610128,0.9701708385682746,0.0072927387657216,0.98,0.0047392971525322
9-8-7,KNN,DeepONMF_W,0.8208,0.0113666177907062,0.552,0.0284165444767656,0.8879999999999999,0.0071041361191914,0.5723008392011482,0.0322257658533425,0.72,0.0177603402979785
9-8-7,KNN,DeepONMF_H3,0.8996000000000001,0.0130690474021636,0.749,0.032672618505409,0.93725,0.0081681546263522,0.79429243858022,0.0270719786205746,0.843125,0.0204203865658806
No aplica,UjaNet,STFT,0.9884,0.0051768716422179,0.971,0.0129421791055447,0.9927499999999998,0.0032355447763861,0.9721825846449246,0.0122036502125443,0.981875,0.0080888619409654
No aplica,UjaNet,MFCC,0.9876,0.0060663003552412,0.969,0.0151657508881032,0.99225,0.0037914377220257,0.9696955443643503,0.0146275976774222,0.980625,0.0094785943050644
No aplica,UjaNet,MelSpectrogram,0.9904,0.005899152481501,0.976,0.0147478812037526,0.994,0.0036869703009381,0.9767611634980355,0.0142950230259694,0.985,0.0092174257523453
No aplica,UjaNet,LogMelSpectrogram,0.9884,0.0049799598391955,0.971,0.0124498995979886,0.99275,0.0031124748994971,0.9718538956010372,0.0122769927286418,0.981875,0.007781187248743
9-8-7,UjaNet,DeepONMF_W,0.9344,0.0077974354758471,0.836,0.0194935886896178,0.959,0.0048733971724044,0.8415429079897642,0.0187249698776152,0.8975,0.0121834929310112
9-8-7,UjaNet,DeepONMF_H3,0.9756,0.0105261578935526,0.939,0.0263153947338814,0.98475,0.0065788486834704,0.9403683132374544,0.0255635693468484,0.961875,0.0164471217086759
