tabla,id_pdf
comparacion_distribuciones_binaria,CD006
comparacion_distribuciones_binaria,CD007
comparacion_distribuciones_binaria,CD008
comparacion_distribuciones_binaria,CD009
comparacion_distribuciones_binaria,CD010
comparacion_distribuciones_binaria,CD011
comparacion_distribuciones_binaria,CD012
comparacion_distribuciones_binaria,CD013
comparacion_distribuciones_binaria,CD014
comparacion_distribuciones_binaria,CD015
comparacion_distribuciones_binaria,CD016
comparacion_distribuciones_binaria,CD017
comparacion_distribuciones_binaria,CD018
comparacion_distribuciones_binaria,CD019
comparacion_distribuciones_binaria,CD020
comparacion_distribuciones_binaria,CD021
comparacion_distribuciones_binaria,CD022
comparacion_distribuciones_binaria,CD023
comparacion_distribuciones_binaria,CD024
diferencias_respecto_9_8_7_binaria,DB001
diferencias_respecto_9_8_7_binaria,DB002
diferencias_respecto_9_8_7_binaria,DB003
diferencias_respecto_9_8_7_binaria,DB004
diferencias_respecto_9_8_7_binaria,DB005
diferencias_respecto_9_8_7_binaria,DB006
diferencias_respecto_9_8_7_binaria,DB007
diferencias_respecto_9_8_7_binaria,DB008
diferencias_respecto_9_8_7_binaria,DB009
diferencias_respecto_9_8_7_binaria,DB010
diferencias_respecto_9_8_7_binaria,DB011
diferencias_respecto_9_8_7_binaria,DB012
diferencias_respecto_9_8_7_binaria,DB013
diferencias_respecto_9_8_7_binaria,DB014
diferencias_respecto_9_8_7_binaria,DB015
diferencias_respecto_9_8_7_binaria,DB016
diferencias_respecto_9_8_7_binaria,DB017
diferencias_respecto_9_8_7_binaria,DB018
tabla_global_multiclase_completa_36_filas,MC001
tabla_global_multiclase_completa_36_filas,MC002
tabla_global_multiclase_completa_36_filas,MC003
tabla_global_multiclase_completa_36_filas,MC004
tabla_global_multiclase_completa_36_filas,MC005
tabla_global_multiclase_completa_36_filas,MC006
tabla_global_multiclase_completa_36_filas,MC007
tabla_global_multiclase_completa_36_filas,MC008
tabla_global_multiclase_completa_36_filas,MC009
tabla_global_multiclase_completa_36_filas,MC010
tabla_global_multiclase_completa_36_filas,MC011
tabla_global_multiclase_completa_36_filas,MC012
tabla_global_multiclase_completa_36_filas,MC013
tabla_global_multiclase_completa_36_filas,MC014
tabla_global_multiclase_completa_36_filas,MC015
tabla_global_multiclase_completa_36_filas,MC016
tabla_global_multiclase_completa_36_filas,MC017
tabla_global_multiclase_completa_36_filas,MC018
tabla_global_multiclase_completa_36_filas,MC019
tabla_global_multiclase_completa_36_filas,MC020
tabla_global_multiclase_completa_36_filas,MC021
tabla_global_multiclase_completa_36_filas,MC022
tabla_global_multiclase_completa_36_filas,MC023
tabla_global_multiclase_completa_36_filas,MC024
tabla_global_multiclase_completa_36_filas,MC025
tabla_global_multiclase_completa_36_filas,MC026
tabla_global_multiclase_completa_36_filas,MC027
tabla_global_multiclase_completa_36_filas,MC028
tabla_global_multiclase_completa_36_filas,MC029
tabla_global_multiclase_completa_36_filas,MC030
tabla_global_multiclase_completa_36_filas,MC031
tabla_global_multiclase_completa_36_filas,MC032
tabla_global_multiclase_completa_36_filas,MC033
tabla_global_multiclase_completa_36_filas,MC034
tabla_global_multiclase_completa_36_filas,MC035
tabla_global_multiclase_completa_36_filas,MC036
tp_tn_fp_fn_por_fold_deeponmf,PF001
tp_tn_fp_fn_por_fold_deeponmf,PF002
tp_tn_fp_fn_por_fold_deeponmf,PF003
tp_tn_fp_fn_por_fold_deeponmf,PF004
tp_tn_fp_fn_por_fold_deeponmf,PF005
tp_tn_fp_fn_por_fold_deeponmf,PF006
tp_tn_fp_fn_por_fold_deeponmf,PF007
tp_tn_fp_fn_por_fold_deeponmf,PF008
tp_tn_fp_fn_por_fold_deeponmf,PF009
tp_tn_fp_fn_por_fold_deeponmf,PF010
tp_tn_fp_fn_por_fold_deeponmf,PF011
tp_tn_fp_fn_por_fold_deeponmf,PF012
tp_tn_fp_fn_por_fold_deeponmf,PF013
tp_tn_fp_fn_por_fold_deeponmf,PF014
tp_tn_fp_fn_por_fold_deeponmf,PF015
tp_tn_fp_fn_por_fold_deeponmf,PF016
tp_tn_fp_fn_por_fold_deeponmf,PF017
tp_tn_fp_fn_por_fold_deeponmf,PF018
tp_tn_fp_fn_por_fold_deeponmf,PF019
tp_tn_fp_fn_por_fold_deeponmf,PF020
tp_tn_fp_fn_por_fold_deeponmf,PF021
tp_tn_fp_fn_por_fold_deeponmf,PF022
tp_tn_fp_fn_por_fold_deeponmf,PF023
tp_tn_fp_fn_por_fold_deeponmf,PF024
tp_tn_fp_fn_por_fold_deeponmf,PF025
tp_tn_fp_fn_por_fold_deeponmf,PF026
tp_tn_fp_fn_por_fold_deeponmf,PF027
tp_tn_fp_fn_por_fold_deeponmf,PF028
tp_tn_fp_fn_por_fold_deeponmf,PF029
tp_tn_fp_fn_por_fold_deeponmf,PF030
tp_tn_fp_fn_por_fold_deeponmf,PF031
tp_tn_fp_fn_por_fold_deeponmf,PF032
tp_tn_fp_fn_por_fold_deeponmf,PF033
tp_tn_fp_fn_por_fold_deeponmf,PF034
tp_tn_fp_fn_por_fold_deeponmf,PF035
tp_tn_fp_fn_por_fold_deeponmf,PF036
tp_tn_fp_fn_por_fold_deeponmf,PF037
tp_tn_fp_fn_por_fold_deeponmf,PF038
tp_tn_fp_fn_por_fold_deeponmf,PF039
tp_tn_fp_fn_por_fold_deeponmf,PF040
tp_tn_fp_fn_por_fold_deeponmf,PF041
tp_tn_fp_fn_por_fold_deeponmf,PF042
tp_tn_fp_fn_por_fold_deeponmf,PF043
tp_tn_fp_fn_por_fold_deeponmf,PF044
tp_tn_fp_fn_por_fold_deeponmf,PF045
tp_tn_fp_fn_por_fold_deeponmf,PF046
tp_tn_fp_fn_por_fold_deeponmf,PF047
tp_tn_fp_fn_por_fold_deeponmf,PF048
tp_tn_fp_fn_por_fold_deeponmf,PF049
tp_tn_fp_fn_por_fold_deeponmf,PF050
tp_tn_fp_fn_por_fold_deeponmf,PF051
tp_tn_fp_fn_por_fold_deeponmf,PF052
tp_tn_fp_fn_por_fold_deeponmf,PF053
tp_tn_fp_fn_por_fold_deeponmf,PF054
tp_tn_fp_fn_por_fold_deeponmf,PF055
tp_tn_fp_fn_por_fold_deeponmf,PF056
tp_tn_fp_fn_por_fold_deeponmf,PF057
tp_tn_fp_fn_por_fold_deeponmf,PF058
tp_tn_fp_fn_por_fold_deeponmf,PF059
tp_tn_fp_fn_por_fold_deeponmf,PF060
tp_tn_fp_fn_por_fold_deeponmf,PF061
tp_tn_fp_fn_por_fold_deeponmf,PF062
tp_tn_fp_fn_por_fold_deeponmf,PF063
tp_tn_fp_fn_por_fold_deeponmf,PF064
tp_tn_fp_fn_por_fold_deeponmf,PF065
tp_tn_fp_fn_por_fold_deeponmf,PF066
