clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,36,156,4,4,0.96,0.9,0.975,0.9,0.9375,40
AS,39,154,6,1,0.965,0.975,0.9625,0.8666666666666667,0.96875,40
MR,33,149,11,7,0.91,0.825,0.93125,0.75,0.878125,40
MS,34,158,2,6,0.96,0.85,0.9875,0.9444444444444444,0.91875,40
MVP,30,155,5,10,0.925,0.75,0.96875,0.8571428571428571,0.859375,40
PROMEDIO_MACRO,172,772,28,28,0.944,0.8600000000000001,0.9650000000000001,0.8636507936507936,0.9125,200
