,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,36,0,0,3,1
real_AS,0,38,2,0,0
real_MR,3,5,32,0,0
real_MS,0,0,1,35,4
real_MVP,1,1,2,0,36
