epoca,loss_train,loss_val
1,0.5410371993325258,0.4066922068595886
2,0.3460500143272312,0.24689649045467377
3,0.23864472039828175,0.2192486822605133
4,0.23990145109986005,0.24186162650585175
5,0.21588233760312983,0.20059356093406677
6,0.20196794130300222,0.1920550912618637
7,0.17834674645411341,0.19652733206748962
8,0.157728152888778,0.1740957498550415
9,0.14017321519847764,0.27451103925704956
10,0.19065488409250975,0.19347822666168213
11,0.13671487463809745,0.17695929110050201
12,0.12268933075431146,0.19011682271957397
13,0.13671697111261127,0.1961924135684967
14,0.13622961678591214,0.1774555742740631
15,0.13540138943905108,0.2119726985692978
16,0.13686787643420853,0.2407374382019043
17,0.1278297422747863,0.15593312680721283
18,0.11378174711410936,0.15897704660892487
19,0.08299840953642208,0.16869468986988068
20,0.09065669168424058,0.15963099896907806
21,0.09085327407688294,0.15332487225532532
22,0.08112216890348416,0.16950394213199615
23,0.08846457581967115,0.2100883424282074
24,0.07043567834740602,0.15866822004318237
25,0.08009544509389487,0.2199903130531311
26,0.1051247067087771,0.17896640300750732
27,0.07403449030090614,0.19873496890068054
28,0.06102914091714315,0.22840072214603424
29,0.06459134122920468,0.14431074261665344
30,0.05893931485173341,0.15728461742401123
